,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 7,Shared topic 8,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 6,RNA private topic 8
Cdc37,0.53772044,-0.60375667,-0.8026407,0.07364415,-0.9971467,0.27734944,-0.7590449,-0.33526525,0.6351141,-0.49107808,-0.3192232
Cdkn2d,1.2837325,-2.1666727,-0.22749467,0.18058248,-0.66716826,0.31642386,-0.5111923,-1.6634195,1.1601348,-0.27846867,-0.5536495
Ilf3,0.011174589,-0.64152294,-0.9649171,0.33124417,0.7333832,0.308538,-0.4514918,-0.40691048,0.1882678,-0.78166217,0.20592536
Dnm2,-0.087273195,-0.52689666,0.3391219,0.37470284,0.18023726,-0.50933707,-0.3171053,-0.2785241,-0.10668453,0.5007988,0.5799707
Prkcsh,-1.868306,1.715831,0.10418776,0.2387353,-0.74640983,-0.038213555,-0.69347954,0.8366956,-0.4579841,-0.11727437,-0.15331514
Smarca4,0.36983663,-1.5229201,-1.0322348,0.4785495,0.6752827,0.115652524,0.4408679,-1.5918057,0.6713267,-0.5063005,-0.08793821
Acp5,-0.3535388,0.2183888,-0.09734548,0.04430067,-0.030794146,0.098113984,-0.7096517,0.06380469,-0.060914993,0.045153942,-0.5282869
Bbs9,0.42568427,-2.598773,-0.074388996,0.44973332,0.9758424,0.19020882,-0.2015246,-1.1782293,-0.2411332,-0.081603624,0.9802282
Sept7,1.1631078,-0.57358086,-1.1914212,0.04565093,-1.1407728,-0.3009913,0.06470839,-0.31179243,0.61691105,-1.1089499,-0.06398371
Ncapd3,1.2153345,-3.0819676,-0.7936785,0.8020879,0.259483,0.22344793,-0.44439724,-1.9997847,1.0996903,-0.01848633,0.44483152
Zbtb44,1.5402088,-1.3942249,0.18576832,0.18924178,-0.83823407,-0.9580163,0.32002327,-0.8740692,0.65342873,-0.6956058,-0.81608564
Aplp2,-1.9243883,1.843977,-0.0896105,-1.0160688,-0.0013282313,0.67031646,-1.2081331,1.650973,-1.5306095,-0.45926327,-0.15485586
Fli1,0.5978785,-1.0520118,-0.49099386,0.64387256,0.10316364,-0.3842619,0.71014214,-0.8182589,0.17584725,-0.43709514,0.28003836
Vwa5a,-1.2533557,2.7161088,-0.43195933,-1.2408886,-0.6086161,0.042036206,-0.41126695,1.0524029,-1.3132004,-0.57316893,0.25925523
Gramd1b,-2.605424,2.1766472,0.60657746,-0.2449447,0.21055081,-0.6669219,-0.23063755,1.1209774,-2.5497625,0.7717801,-0.27247643
Sorl1,-2.1186042,2.2250419,0.21130322,-1.0247345,0.18675813,0.2992725,-0.78530884,1.312796,-0.9524009,-0.628678,-0.24912626
Tbcel,0.47380912,-0.84229124,0.112454206,0.37349176,0.16653489,-1.1698118,0.36448088,-0.66884375,-0.097194076,0.16974325,0.3127002
Nectin1,-2.79377,1.6044145,0.21292853,-1.0269428,0.7234452,0.56861985,-0.30707943,1.727663,-1.6797179,0.036120966,-0.42726463
Thy1,1.0333383,-3.4538236,0.03942286,0.3834106,0.24306907,0.25165495,0.68583864,-3.783097,1.0632173,0.6587248,-0.19717218
H2afx,1.0571649,-2.3305926,-0.6511957,0.27063638,-0.018803395,0.6255863,0.0035678318,-2.368052,1.2313068,0.102196924,-0.7869673
Trappc4,-0.050010607,1.5203017,0.04605055,-1.9835907,-1.2738655,0.18341018,-1.2453798,0.6635952,0.016489375,0.48002687,-0.9231877
