,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Sema4d,-1.2632625,0.89242506,-0.009328557,-0.16796227,0.12690115,1.4618605,-1.5083132,-0.920477,-0.34292272,-1.4552416,-0.7046654,-1.1065142,-1.0454701,1.7720637,-0.76365894,-0.97434604,-0.115994744,-1.2184265,-0.92546606,0.14439276
Sptlc1,0.59397906,-0.30088902,-0.13679242,0.074962825,0.17409152,0.69275373,-0.3446894,-0.57376,-0.08829541,-0.43494463,-0.15813002,-0.19280162,-0.5645999,0.78158426,-0.1747463,-0.103684075,-0.035036843,0.018911777,0.19613937,-0.07140838
Sfxn1,0.6080229,-0.22145468,-0.2765583,-0.051317368,0.20473555,-0.64023244,0.10540857,0.5369027,-0.36497536,-0.38610512,-0.032655787,0.5727965,-0.1714537,-0.42676622,-0.5389615,-0.7279576,0.063827105,0.42343575,0.28454602,-0.16263126
Cplx2,0.25438946,-0.08857052,-0.46641058,-0.07823705,-0.39851817,-1.2192962,0.5921654,0.23526923,0.0860399,0.6162825,-0.43215576,0.8025551,0.9335841,-0.52067864,-0.23568568,-0.5948796,-0.30423573,-1.1144631,0.48555768,-0.1454533
Thoc3,-0.101326294,0.13899577,-0.20291865,-0.14892247,0.060096666,0.26289797,0.076536946,0.16142616,0.05125382,-0.18277808,-0.067959905,-0.045982912,-0.7885491,0.71243876,-0.1306519,0.009806304,0.03149511,0.019452726,-0.06108243,-0.01894026
X4833439L19Rik,-0.61262333,0.36097547,-0.3787582,-0.6328492,-0.2081533,0.71010303,0.10518977,0.27212363,-0.0104374485,0.037560664,-0.8561233,0.18369615,0.51882404,0.44555655,-0.14863276,0.28314608,0.06814656,-0.64283204,-0.35413927,-0.016210819
Cltb,-0.01532664,-0.26283887,0.09665022,0.056844607,0.4983294,-0.82156533,0.016819376,-0.3100044,-0.06790373,0.028948437,0.18456548,-0.09535777,0.17610429,-0.7009594,-0.009465161,-0.2903862,0.0060627814,-0.39858136,0.011734968,-0.016932044
Faf2,0.02830222,-0.35656673,0.08429624,0.009211584,0.016552087,-0.046468504,-0.04175463,0.18817618,0.00017071469,-0.25456783,0.030264074,-0.08028814,-0.7719312,0.0026304892,-0.017581847,-0.077811,-0.003292649,-0.23792905,-0.02417362,0.035084106
Ddx41,-0.06103288,-0.08605105,0.06356658,0.031618312,-0.013916753,-0.42885292,0.055026554,-0.52718925,0.08419065,-0.57849365,0.00094378163,-0.05879415,-0.25699756,-0.3288078,0.061616316,0.022067389,0.022580786,-0.05903025,-0.01863906,-0.006663587
Fam193b,-0.079411425,-1.2026829,0.1896392,-0.17668553,0.3554482,-0.15324084,0.18677378,0.27752,-0.026339775,-0.4530955,-0.24132013,0.034672663,0.77665615,-1.1345406,-0.23118883,-0.81088644,-0.09445167,-0.10013108,0.23830363,0.18020321
Ddx46,-0.0056121717,-0.3206506,0.048023243,0.058162812,-0.108936496,-0.05799283,-4.872447e-05,-0.31757614,0.11431319,-0.019311864,0.016672483,-0.05243462,-0.91181624,0.2380524,-0.0015669978,-0.034331396,-0.041788142,0.09358017,-0.07159094,0.07299046
H2afy,0.20229793,-0.35802054,-0.39516392,0.1382703,0.20282967,0.085184276,0.2316574,0.18277046,-0.18946414,-0.53216004,0.016123854,0.15509057,-0.2253654,-0.4873248,-0.50304943,-0.71193767,-0.039438635,0.501221,0.06846811,0.014406238
Cxcl14,-0.036302563,0.44902974,-0.59527904,-0.35512105,1.3855296,-0.6200295,-0.96579385,0.8024316,-1.40197,-0.20974596,0.19135614,0.24863198,0.66175723,-0.13348009,-0.6718417,-0.63059646,-0.71041894,-0.14223883,-1.0244126,-0.48408476
Spock1,-0.61005116,-0.24241498,0.728092,0.12058295,-0.8030528,-1.4360607,-0.79516846,-1.2470169,0.9906033,0.7232184,-0.80955726,-0.62026024,-1.191445,-0.9496314,1.0218232,0.5875945,0.9036531,-0.57171386,-0.017126568,0.38011542
Gkap1,-0.78654563,0.7712094,-0.59753776,-0.16942792,0.13653094,1.3672639,-0.9322272,0.0868645,-1.4704726,-0.48879522,0.4779708,-0.76224524,-0.46689087,1.1580198,-0.7273895,-0.92876387,-0.5873196,0.5246345,-0.15248103,-0.44603327
Agtpbp1,0.032472864,-0.38912493,0.11090194,-0.022771668,-0.15538286,-0.4340145,-0.017053049,-0.50831795,0.23312686,0.38258412,-0.048554443,0.12917723,-0.24863306,-0.35159117,0.25445473,0.21122254,0.021713628,-0.6266726,-0.07131096,0.11876092
Naa35,0.07296735,-0.64297354,-0.035776827,0.23172471,0.0758514,-0.048924964,-0.0160451,0.17868261,0.038218103,-0.061965436,0.11227656,-0.08876874,-0.14251345,-1.0275652,-0.079920545,-0.21028523,-0.017861452,0.7319201,-0.14800754,-0.00155022
Golm1,-0.60323715,0.6206955,-0.37988463,-0.6762802,-0.23182733,0.16015835,-0.79620475,0.8908241,0.2637067,0.23667842,-0.24115267,-0.51396734,-0.32523707,-0.38686517,0.21077791,0.022916641,-0.12725684,0.6721361,-0.2750414,0.32567334
Isca1,0.46352035,-0.11483665,-0.0807234,0.28030246,-0.030156067,-0.61122,-0.17326878,-0.6156619,0.30079734,0.060745228,0.057502933,-0.14856452,-1.0384369,-0.69207776,0.35971937,-0.11402387,0.13408473,-0.28981918,-0.39169678,-0.121053554
Zcchc6,-0.0030941379,-0.00045111938,-0.036372133,0.057779104,-0.019627124,-0.1361697,0.06536923,0.23030323,-0.032771874,-0.084246606,0.0023654352,0.07778023,-0.017745808,-0.24178855,-0.02354256,-0.0032714808,-0.014622244,0.0065244143,0.01610919,-0.0024034183
Dapk1,0.40219444,-0.43026346,0.12635915,0.45249683,0.6800797,-1.6154736,0.24126092,-0.51129186,-0.32689506,-0.23401438,0.61542904,-0.17401652,-0.28437832,-1.0742822,-0.5205081,-0.29913303,0.02781339,-0.25666726,0.47797844,0.3113
Habp4,-0.27396953,0.08766128,0.31895402,-0.0567923,0.26196486,-0.79828393,-0.5839846,-0.83025753,0.36185908,0.7329621,-0.27379704,-1.0735868,-0.5830251,-0.1451259,0.8224474,0.44982514,0.30803248,-0.1964523,-0.22501418,-0.41995627
Uqcrb,0.2860865,0.108746685,-0.086713746,-0.009498639,-0.4715527,0.2971828,-0.012935859,-0.06497231,0.017948003,-0.46695676,-0.12107536,0.19603844,-0.46776122,0.5604548,0.18477674,-0.22944324,0.043784972,0.191252,-0.09158384,-0.45414767
Mterfd1,0.32930207,-0.1786301,-0.13622007,0.17651826,0.39215946,0.27391097,-0.14772007,-0.08863607,0.0035577265,-0.99665964,0.15537569,0.03711925,-0.21790092,-0.009492365,-0.08769452,-0.25112516,-0.17589867,0.2603024,-0.040010877,-0.53051186
Adcy2,-1.0677948,0.1878397,0.80932975,-0.4600784,0.2859179,-0.85521674,-1.353348,-0.9299502,0.83707625,0.5864641,-0.81285614,-0.8084667,-0.5474759,-0.40167308,0.33668745,0.7335467,0.81274194,-1.2085493,-0.4166159,0.38162932
Srd5a1,-0.5251934,0.38634276,-0.86902577,-0.84844553,-0.6177566,1.746587,-1.1124221,-1.3680946,-0.5034885,0.1529081,-0.6762195,-0.9660145,-0.8397966,1.5119613,-0.43774152,-0.5427808,-0.00021098202,0.07744863,-0.15382719,-0.22774284
Nsun2,-0.022703724,-0.64332896,-0.40158525,0.066539794,-0.1421029,0.30650577,-0.07194454,0.007962872,0.08516005,0.3348123,-0.19898115,0.065641694,0.077496484,0.0075614154,-0.016787762,-0.2036724,0.0052008154,-0.6959239,0.6328006,-0.21692461
BC018507,0.26426464,-0.6457175,0.18050066,0.27651054,0.24907093,-0.47592586,0.29537064,-0.7606513,-0.14986664,0.016528489,0.53068656,-0.3939574,-0.373973,-0.3247148,-0.21056078,-0.5133618,-0.13464291,-0.3893903,0.395079,0.22852261
Ndufs6,-0.27566284,0.22215566,-0.17316227,-0.4438453,-0.40296632,0.12725304,0.15103719,0.22916104,0.09593594,0.34130177,-0.50462645,0.5464912,0.4144335,0.14524834,0.106374405,0.04926109,-0.03435575,-0.8437252,-0.010646263,-0.61871576
Brd9,-0.26728415,0.28879112,0.2236631,-0.28841436,-0.34562448,0.012061006,-0.5791375,0.09244303,0.23584817,0.26704913,-0.6709577,-0.3131575,-0.024884637,0.119154274,0.23732795,0.4017616,0.1706028,0.18683712,-0.70314246,0.020776019
Exoc3,0.123399146,-0.020605624,-0.019701716,0.076336615,-0.036643777,-0.08155381,-0.014811129,-0.2299311,0.013011665,0.23732981,0.01573467,-0.025403267,0.18465102,-0.16206704,0.018766388,-0.1203599,-0.0055532707,-0.72563535,0.011813541,0.0012077403
Sdha,-0.12457771,-0.11155603,0.0646866,0.096293725,0.2240417,-0.40437892,-0.042141326,-0.20290804,-0.0308638,-0.02046752,0.018828722,-0.019638844,0.0014135867,-0.4560204,0.07962952,-0.014693623,-0.029832026,-0.25209174,-0.01128979,-0.00065966375
Ccdc127,0.10822821,-0.42010987,-0.05012469,-0.58803904,0.37468955,-0.28830534,-0.624696,0.6110947,0.000991451,0.3358951,-0.53541183,0.13072427,0.59866947,-0.89359176,0.01774586,0.24686065,0.0011365486,-0.09325925,-0.75859404,0.02695455
Pcsk1,-0.47477064,-1.2940768,0.87973607,-0.4238075,-0.42898348,-0.7131099,-0.04117686,-1.5049232,0.4164353,1.0167437,-0.2596506,-0.39100397,0.18431154,-0.8666816,-0.043411624,-0.32114294,0.9707095,-1.1540537,0.27032268,0.59510726
