,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,Protein private topic 6,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
55_89,14.369514,3.0957582,3.875866,1.1652926,13.549742,1.1716229,16.734962,2.8455882,1.247093,1.9928088,2.6532984,1.1908047
62_11,3.6456037,3.4870362,5.1998754,2.4314275,1.7584338,0.95638996,3.8239841,35.29888,4.1028075,2.8671486,1.3134556,5.519674
26_34,1.1436262,77.11345,1.5119157,0.8092351,0.56978405,0.71310294,0.47151074,1.5875161,0.48261923,0.673782,0.7123618,0.89374036
52_116,35.051754,3.7870302,1.4163669,0.98908746,1.5043385,584.86066,0.90761524,1.5344715,0.71966165,2.6232655,1.5601165,0.8659902
59_29,8.9319,2.3017273,8.261858,2.9101982,1.0943747,1.1803237,34.233788,0.7123798,1.204591,1.5354296,1.8762594,0.4810383
49_48,2.626484,8.944725,1.8529787,1.7610829,3.6798196,1.5807118,1.2778301,11.533585,0.9919332,34.289562,2.6334713,7.11466
3_59,37.001213,2.275729,4.980713,0.7763871,0.99502337,1.0766795,1.8563596,1.1356795,6.483958,1.58278,2.168214,0.46024737
36_60,2.5315328,4.674472,2.22792,3.0603976,3.2431135,1.0495967,0.89478713,8.042948,0.83289295,35.5292,1.6460326,13.50287
31_88,2.4787464,5.1351976,2.3946037,2.2517686,1.5741079,0.7744159,1.3992912,13.128262,0.7055908,3.217748,1.1754936,3.3303497
22_55,2.5065067,4.12484,2.5217428,19.92102,1.6991444,1.4649607,16.330664,6.5296526,1.8810202,1.8885529,1.0395521,2.0382855
13_53,2.2513301,5.1396127,2.48534,2.2114499,3.9897535,0.92619544,206.84807,8.941897,2.111675,1.899659,1.5105934,4.528365
48_4,27.780987,5.5243745,1.3444561,0.91842663,0.9958893,3.499628,1.1230489,6.07599,0.6477973,1.0269926,1.0065378,3.3691347
36_24,1.2272391,35.52884,1.2456585,0.81383115,0.7056663,0.6997178,0.3411266,0.81155205,0.4203504,0.9785504,0.6783559,1.2368159
39_88,3.3784742,3.6897917,3.2767186,1.4135861,8.646019,1.036456,9.553412,5.634519,4.239649,1.3677222,1.2871153,2.527578
56_16,3.9470615,3.6391938,16.427908,3.4969678,1.1327221,1.8066268,1.355193,8.478511,4.185959,0.5611665,0.7895236,1.3646674
7_56,5.993001,2.9270008,5.2284527,11.028978,1.083838,1.0327035,2.6362622,12.180635,2.8628628,1.2331985,0.9396964,2.3825688
9_56,7.8177013,2.6047072,6.29224,3.0768898,1.2349541,0.99887526,6.372253,1.887851,1.7407748,1.5405715,1.7979894,0.76662713
24_56,2.2570534,8.589861,1.6685622,2.131795,4.7155814,1.0347357,1.7872605,14.888821,1.1232705,11.7167845,1.1737098,7.684513
39_38,2.487945,4.157412,5.9944725,4.6095705,0.9959736,0.60810506,1.2068242,5.116727,8.716513,0.60864234,0.9205131,0.69918245
10_63,24.829622,2.6536732,4.167169,1.9263278,0.95048666,1.5758032,3.3315654,1.6408495,4.3420954,0.70547324,1.6476848,0.6939056
50_108,1.4686594,30.213015,1.2415123,0.65672773,0.81713724,4.8442945,0.6298931,1.2277775,0.52293855,1.0476991,0.75866526,1.1223336
48_40,3.2419825,2.785256,10.67948,1.8938751,1.3623142,0.90971816,3.6695397,2.6460621,1.7207437,1.2514776,1.1676813,0.84601426
56_108,3.0365295,4.11331,2.18616,9.902591,5.24736,8.857478,1.2592229,8.757124,0.97110254,3.538667,1.8402859,2.989532
64_23,10.948313,4.00991,1.6766086,4.250956,1.2688755,13.524736,0.73762995,3.7675657,0.4903508,1.1446226,1.0842686,1.640893
32_39,2.5893464,3.298706,6.591481,12.809534,1.4477775,1.1295034,4.457629,10.384856,2.3668642,1.492106,1.1582369,2.0094726
10_46,2.505148,3.3690221,10.165118,4.0136576,1.453805,0.864392,30.224771,3.6088858,5.223671,1.4819789,0.7854011,0.7678856
33_25,2.0634675,9.910378,2.505304,1.325463,0.77517104,0.8347587,0.79341614,9.589818,1.2593509,0.7848119,0.82866156,3.4280307
