,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
Pygo2,-1.0143611,2.0551822,-0.33153605,-0.72992617,-0.6372901,-0.3321767,0.012422347,-0.1290074,-0.024270374,-0.6438909,0.07463945
Pbxip1,-0.6814716,2.4853683,-1.6544625,-0.7327451,-0.14931355,-0.7012771,0.003964118,-0.6709236,0.11146049,-0.11842391,-0.12067469
Adar,-0.26927724,2.2645738,-1.6775715,-0.036461804,-0.3290443,-0.69458205,0.0052011693,-0.3088988,-0.13166891,-0.9136788,-0.32144767
Ube2q1,-1.189426,0.36479035,-0.093619406,-0.21578483,0.31563216,-0.24262246,-0.0063641863,-0.18977846,0.017879361,-0.15262696,-0.0070456485
Ubap2l,0.79807365,-1.2794886,0.28752482,0.208393,-0.01902487,0.19383617,-0.027239973,0.050282057,-0.14900029,-0.41066423,0.002064326
Dennd4b,0.014761802,1.3555546,-0.79746985,-0.4514562,-0.28039435,-0.34366602,-0.004350944,-0.41155413,0.0756416,-0.25611958,-0.021167556
Tpm3,-0.64492375,1.0210539,-0.245358,-0.08729863,-0.16427787,-0.23744234,0.0070706788,-0.093209535,-0.011101961,-0.31160918,0.03197671
Ints3,0.047112256,0.21642229,-0.71836483,0.12312576,-0.14685188,-0.06410677,0.0015542065,-0.11848761,0.013982073,-0.6366676,-0.021948524
Gatad2b,0.83478725,-1.2792759,-0.108003646,0.07209494,0.14874038,0.019420061,-0.0072455606,0.16310108,-0.039864287,0.21338895,-0.017894868
Ilf2,-0.5043046,0.2634603,0.13573271,0.008230791,0.017673535,-0.012626635,-0.0012307996,0.0058138412,-0.0030585034,-0.20767963,-6.0181024e-05
S100a14,-2.829553,5.969341,-2.9571815,-1.7031155,-1.5404071,-1.1681489,-0.48023528,-1.2090734,-0.92389095,-0.9998597,-0.75791955
S100a13,-0.71452546,1.0378462,0.15391803,-0.11941615,-1.195119,-0.03444306,0.0094038965,0.04336619,-0.1981291,-0.15874995,-0.06348056
S100a16,-1.7882067,4.1236887,-2.0340352,-0.6840891,-1.1498564,-1.0042111,-0.061750434,-0.93361884,-0.7638807,0.083618715,-0.031679966
S100a4,-2.6446896,5.543598,-3.5348902,-1.6017623,-1.5373886,-1.2909979,0.058770515,-1.3570162,-0.49004406,-1.0527537,-0.41714734
S100a9,-3.1518013,-0.34400496,-0.44287467,1.5483464,-0.8358176,-0.34042332,0.072826564,-0.7288545,-0.3933132,0.17427734,-0.2887142
S100a6,-2.9141264,5.581182,-3.2864704,-1.3707765,-1.3239491,-1.3605886,-0.19814716,-1.266815,-0.87126017,-0.62802964,-0.46076012
S100a11,-0.313938,-1.289681,1.0567969,0.2749815,-0.67842543,0.05801652,-0.017844511,0.027069714,-0.27274922,-0.12655866,-0.07144347
Rorc,1.8972111,-5.8484974,1.4717813,0.3237949,0.3491924,0.636377,-0.24306583,0.4449652,0.27256092,1.1966597,-0.34298244
Snx27,-0.29528812,0.027193278,-0.1082255,-0.0030464837,-0.0069992505,-0.026183063,0.00074761134,-0.009792165,-9.6067684e-05,-0.22961845,0.0033337858
Psmb4,-1.5116086,0.47707272,-0.4766127,0.39951006,-0.09110668,-0.13325214,0.014899197,-0.25679606,0.032665562,-0.69862556,-0.029880483
Psmd4,-1.6553743,0.68855375,-0.14838965,-0.11157036,0.38452786,-0.049693994,0.013648503,-0.6195785,0.00888047,-0.10736249,-0.0035891407
Pip5k1a,-0.61634994,-1.2849021,0.79551417,0.19442648,-0.073058054,-0.04194511,-0.0058702184,0.08361659,-0.0005011684,-0.44737095,-0.04325031
Gabpb2,0.80333847,-2.2395856,0.8500875,0.32600033,0.0031510973,0.3847302,-0.0027484847,0.4262577,-0.09144785,-0.38508654,-0.355161
