,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 5,ATAC private topic 6,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9,ATAC private topic 10
283.1305129141175,-0.88476616,0.001181299,-0.017335376,-0.03483157,0.4998038,0.19565031,0.07117181,-0.011892201,0.08661309,-0.120505005,-0.75238055,0.45254225,-1.4062246,-0.011455222,-0.06372532,-0.026296668,0.57625425,-0.2560493,0.17404662,0.008042922
293.1149201372592,-1.8548385,0.08515815,0.09986449,-0.048324335,0.6104314,0.5371068,0.12653981,-0.12158853,0.019733353,-0.56000984,-0.6279669,-0.18156794,-0.9201661,-0.5442878,0.17483002,-0.16049485,0.84140533,-2.0906405,0.48898077,-0.11072166
313.2138117541359,-1.9973276,-0.22544016,0.034432486,-0.007151055,0.68885756,0.5509259,0.24106734,-0.027006881,-0.14613718,-0.56115323,-1.3377625,0.21734506,-1.5704645,-0.045295317,0.21969067,0.012317264,0.8229678,-1.3679564,0.3377649,-0.4227974
317.11518519135484,0.7972302,0.072803296,-0.032212775,-0.12632315,0.4112006,0.101344906,-0.04427642,0.007710904,0.08642314,-0.28211826,-0.71997213,0.6774969,-1.5545981,-0.058840033,-0.107110836,-0.1939023,0.5246236,0.43698975,0.024173077,0.084077336
325.177311613809,-0.6396072,-0.010366536,-0.015039166,-0.021065865,0.48300326,0.17749944,0.05362911,0.0007098649,0.12660353,-0.13303268,-0.75705916,0.56529766,-1.3552254,0.032595214,-0.024210954,0.017404223,0.43357202,-0.4537047,0.1598665,-0.0468337
327.19299949538106,-0.54722774,0.09984824,0.037539158,-0.082029596,0.48158994,0.4504318,0.1706467,0.031238452,-0.21413648,-0.434954,-0.8549455,0.28836712,-1.5949833,-0.48014727,0.35632896,-0.07359804,0.70785576,-1.0373824,0.34766117,-0.13488093
327.22900665844,-2.5308797,-0.3193694,0.1645008,-0.31876513,0.48219368,0.69375086,0.7948125,-0.8947453,-1.3515847,0.7307742,-2.4316788,-1.0992914,-1.4536581,0.5747394,0.39668822,0.9804756,0.5623113,-2.7212255,0.8702784,-1.4885564
331.20901611987676,0.5367638,-0.32670736,-0.08075743,-0.037901353,0.5084017,0.24831304,0.2219608,-0.21265922,-0.010640692,-0.10957445,-1.4395343,0.85926586,-1.548005,0.118127234,-0.3146472,0.112223774,0.42621994,0.35932073,0.33087027,-0.43955058
382.2223302420728,-2.2346344,0.033950437,0.14375733,0.24513827,0.66841036,0.4773535,0.14161287,-0.5742408,0.025309483,-2.863391,-0.651553,0.19254798,-1.6741076,-0.549298,0.18811348,-0.41083214,0.77453864,-1.1057652,0.26545042,-0.1683388
394.2438161819251,-3.1159804,0.32228565,0.10006321,-0.9342021,0.16194275,0.36230847,0.42237076,0.5638903,-2.1505466,0.5975724,-0.6949102,-2.7372682,-1.5672611,0.12568519,0.30538175,0.44087237,0.56090826,-2.1603851,0.38694268,0.41524565
399.17773468337884,-2.049504,0.035786193,0.18665949,-0.3633655,0.557172,0.6700492,-0.04540225,0.1260445,-0.6588382,-0.0041846195,-1.594048,-1.1818879,-1.13797,-0.07751156,0.30245855,-0.3508567,0.8159602,-1.8436399,0.6669147,0.10486715
400.3421458375981,-0.19503161,0.735717,-0.24845223,-0.36167815,-0.2100782,-3.3346353,-2.4213755,1.2176397,-0.23926568,1.3547901,0.6379697,0.22666901,-0.95670366,0.70272917,-2.0297835,-2.6632693,1.059277,-0.0925936,-2.3233137,0.9976032
409.2714046851231,-3.5609243,0.0075953812,0.13609801,-0.07479834,0.576027,0.5608771,0.24017164,0.08444917,-0.87106776,-0.101549484,-1.1270005,-2.011384,-0.78484964,-0.16224344,0.54342985,0.0032063513,0.6907704,-2.5475092,0.54832304,-0.120654754
417.24002955088895,-3.2695358,0.3326835,0.18981299,-1.2696661,-0.46215627,0.46498218,0.32961854,0.80878454,-2.8768442,0.8395546,-0.9148968,-3.1045253,-1.6248418,0.1702302,0.47535178,0.4918391,0.19745524,-2.9567695,0.49205458,0.7021751
424.3420088682949,0.28873524,0.38717383,0.02148393,-1.1306876,-0.32484084,-0.7943745,-1.1477244,0.7986119,-0.15780668,0.8777727,0.02586052,0.443945,-1.8136464,0.15307808,-0.56109214,-1.0416263,0.7939886,0.32522878,-0.78373736,0.6151541
427.36111282551303,-1.1687157,-0.05553819,-2.6871996,-3.4016511,-3.0534842,-3.3786154,-3.543147,1.5107605,0.3740621,2.1558175,0.89949405,0.55688393,-2.3443162,0.9065955,-3.0101943,-3.1688423,0.16467619,-0.7431224,-2.9472215,0.9170064
443.2402929517617,-1.7107029,-2.46637,-0.726436,-0.8029372,0.66320425,0.3723123,0.80486107,0.26692235,-0.4528922,0.99851847,-1.4182242,-0.46580118,-1.9295282,0.74289423,0.07287418,0.91264963,0.574743,-2.0393684,0.64760417,-1.7265754
483.0757223974028,-3.3881483,-0.35313243,0.28162828,-0.11454394,0.91134536,0.4608874,0.04478753,-0.017275782,0.27188414,-0.3776118,-0.859834,-0.69866097,-0.1927789,-0.038705304,0.61293435,-0.35526118,0.6799885,-2.3026483,0.78011173,-1.0727367
518.3211782528595,-3.6072388,-0.8438828,0.24843098,-1.2892759,0.81047106,0.6691707,0.7389584,0.618093,-3.2788615,0.58559567,-1.3425786,-2.6793358,-1.8004544,-0.095943585,0.64325505,0.74902767,0.8115138,-3.5109541,0.7533014,0.35173836
544.3377205303616,-3.74235,-0.085924886,0.10640969,-0.49309784,0.44689596,0.46667743,0.65312713,0.4318719,-2.2390404,0.54666436,-0.8097026,-1.9219347,-1.3872166,0.23845738,0.37822685,0.61678,0.57975465,-3.4826832,0.5843497,0.28922123
559.0931126248909,-1.7051973,-0.20748115,0.06547295,0.017038092,0.59232694,0.2855709,0.046559338,-0.068803474,0.19014433,-0.4866877,-0.5971776,0.15788758,-1.3574817,-0.25484952,0.18218109,-0.20660107,0.6859573,-0.44687212,0.3311827,-0.3859777
597.2685359417759,-0.87481135,0.2271419,0.29971635,-0.41392004,0.54795915,0.78656524,0.020209791,0.1205535,-0.8252433,-0.70744383,-1.4393591,-0.8428125,-1.1440203,-0.32745832,0.43345132,-0.19145402,1.0132829,-1.5132085,0.43506253,-0.12249632
615.4957687178843,-2.5104895,-0.21055494,0.06638112,-0.18194793,0.3414375,0.4876421,0.5337422,0.22006927,-2.7545466,0.32605568,-1.4100045,-2.2681577,-0.5102449,0.04567752,0.3039143,0.5193824,0.5141989,-2.3439198,0.3361689,0.17154798
632.113831429033,0.29429957,0.021002239,-0.008578133,-0.073348515,0.4527789,0.2108273,-0.018050479,0.01195543,0.106379665,-0.2368033,-0.691758,0.70331377,-1.5482476,-0.031846825,-0.08462537,-0.11047948,0.59913296,0.17301753,0.13687867,-0.047511213
632.4730362885023,-2.6838696,-0.27651778,0.32128373,-0.08589589,0.2560666,0.80019164,0.6838243,0.4286395,-3.131906,0.20349596,-1.8948765,-3.3244083,-0.35757476,-1.2610738,0.71889037,0.68699133,0.36330348,-2.5446002,0.603567,0.4283251
633.1117401972615,-0.029236954,0.07197082,-0.008008829,-0.04771768,0.5432173,0.2752015,-0.079351276,-0.016655367,0.080037154,-0.29390937,-0.8173256,0.55935246,-1.4269062,-0.09368358,0.01457751,-0.20272991,0.6355194,0.09732547,0.22310816,0.010985599
634.4889074555051,-2.6658351,-0.035589434,0.31434852,-0.09404707,0.15758397,0.880926,0.6924456,0.26304337,-3.4915528,0.16729732,-1.2257258,-3.1655264,-0.48000422,-1.0080699,0.6662781,0.7183044,0.1217803,-2.9419973,0.65324384,0.4099539
636.5557191988065,-3.218147,-0.5586396,-0.020557024,-0.2875997,0.2190031,0.7748029,0.827572,0.60438275,-3.1943917,0.89992297,-1.3987132,-1.6376419,-0.51915604,-0.26066428,0.46921337,0.8989683,0.55103195,-3.0834868,0.6383406,0.059406158
638.5712654688349,-1.9890096,-0.81051725,-0.17163073,-0.66196823,-0.5730687,0.83941495,0.9516508,0.6147492,-3.214105,1.1322414,-1.444479,-2.9788258,-0.45282912,0.11193856,0.42653796,1.1326668,0.21452138,-2.933384,0.6245149,0.25472355
