,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 5,ATAC private topic 6,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9,ATAC private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
51,0.97695315,0.55482805,1.1308165,1.0589113,1.0379446,1.3739047,21.459505,0.93014395,0.5045879,0.6956834,0.60783076,1.0448931,2.257072,1.1654339,0.9636833,35.44673,0.7970817,0.5935099,1.7103083,0.7459631,1.4401554,0.68682224,0.7599887,0.619951,0.6078038,0.8511733,1.032212,0.584776,1.2055118,0.617089
52,0.86322,0.53506565,1.3780994,1.0296376,0.901348,1.518884,18.443956,0.8803728,0.48149914,0.5740913,0.5689656,1.178589,4.0726395,0.946681,0.8479605,48.35142,0.83563954,0.5315985,2.7784188,0.6997601,1.6709398,0.6016039,0.78344727,0.61903167,0.51102364,1.0601753,0.75623494,0.4832626,0.9079536,0.52784026
53,1.0455749,0.5047121,1.3066349,2.156724,0.7528646,1.2142471,16.378624,0.7914123,0.45590135,0.6371544,0.4752666,1.0756811,1.5254527,0.8923822,1.0292547,26.347647,0.8637141,0.5517855,4.4561443,0.73073345,1.9149022,0.6779367,0.77122617,0.6187358,0.54099566,0.92395496,0.8839467,0.54824173,0.94941366,0.6163572
54,0.9078144,0.5537417,1.1181909,1.5880706,0.9964858,1.3364406,12.359802,0.76031923,0.5253335,0.71992874,0.4851479,1.1428567,3.8599243,0.83260626,0.83893794,28.998835,0.74601406,0.53302115,2.6453562,0.61212295,3.4522588,0.7284516,0.85162455,0.6279489,0.46504363,1.1149108,0.7870911,0.46194685,0.8864381,0.50247157
55,0.9306863,0.417733,1.0735195,5.3706784,0.94866425,0.8568314,10.737082,0.78379387,0.6597328,0.67430353,0.7151358,1.0514247,6.0810738,0.88597924,0.9388293,34.418106,0.8184398,0.52948385,1.9334055,0.7131903,6.9316945,1.0583619,0.9266499,0.53524864,0.6444965,0.6773567,1.0131947,0.6648868,0.79225343,0.682232
56,0.6789312,0.49123508,0.76593196,2.083949,1.8707991,1.8752561,5.348034,0.6872436,0.563342,0.8141421,0.5074149,1.2398306,3.511412,0.81320095,0.89578533,42.476803,0.7684354,0.50879717,5.605779,0.6724922,5.328192,0.7711414,0.44330698,0.65823746,0.7353818,0.62894726,0.7409359,1.2820901,0.8449212,3.5217733
57,0.44256786,0.5573484,0.6415472,0.61073387,1.9088714,3.5231433,6.6353126,0.74139374,0.498842,0.8651301,0.4790473,0.91068786,0.61816704,1.0502899,3.016642,51.673897,1.0649258,0.57163674,6.8010416,1.1551028,4.7072067,0.73350513,0.45285177,0.57745075,0.90272593,0.5761768,0.6847199,1.3208627,0.9318986,3.1714764
58,0.519426,0.44366044,0.67542,0.8338747,1.23639,4.1214657,6.64829,0.6907792,0.4288963,0.81228787,0.37060615,0.8167002,0.48488158,1.2165353,10.3227415,32.912968,1.0374949,0.5943105,13.049995,1.0907878,5.834411,0.5246744,0.39464626,0.6418176,0.8876269,0.42505103,0.4612901,1.095028,0.7832688,2.6091917
59,0.6010811,0.41852748,0.7493609,1.4399698,0.6493081,6.3683133,3.5212536,0.53320384,0.46735394,0.8955324,0.37651917,0.8693045,0.45831358,1.3431057,17.23079,42.63995,1.1883485,0.65661865,13.579381,1.2374656,10.58032,1.2141904,1.178003,0.7690208,0.8144872,0.7138271,0.93277836,1.0557667,1.2993811,1.4117
60,0.63502604,0.44766155,0.8166655,1.2973199,0.88891363,6.4608827,3.225258,0.5191479,0.56007963,0.88767713,0.77657443,0.98034155,2.6938732,1.3264952,0.9751606,13.553627,0.607954,0.5959471,20.097393,0.54480433,14.963499,2.8364587,3.118785,1.024284,0.7766361,1.3084369,1.9571139,1.1187322,2.1998868,0.81056386
61,0.78456765,0.43200296,0.9563204,1.6170216,0.892272,6.1571836,2.4854712,0.5367408,0.6538021,0.81447303,0.6645525,0.87463206,4.100837,0.9986929,1.1204677,13.261001,0.57703316,0.48442942,24.282476,0.6215815,4.6272,2.7891583,6.8057647,1.6278242,0.8279366,1.1001679,1.9065905,1.619477,2.3107555,2.5508041
62,0.39465863,0.75693005,0.6052066,0.36615953,1.8656819,1.4718368,12.008822,0.71355075,0.532107,0.93040407,0.7482223,1.7598664,0.6298339,1.7982162,1.1587485,126.86094,1.3880208,0.9254324,1.5083276,1.2663114,1.7590872,0.825737,0.6892057,1.5058932,0.8638839,0.9068842,0.6948216,2.7659478,0.74627984,12.664809
63,0.36797613,0.7973088,0.6238929,0.37309724,1.9648278,1.3271747,10.579148,0.6542492,0.46692884,0.9677107,0.78784364,1.2237765,0.5971744,2.852651,1.5059782,217.13419,1.2575208,0.78531843,1.3439116,1.4772358,2.6734872,0.7746981,0.6680599,1.6873702,0.72141594,1.0012844,0.63260084,2.4601424,0.68632174,14.086564
64,0.3943526,0.8359341,0.6547185,0.37385154,1.7720742,1.3529121,10.962269,0.65337396,0.43233228,0.9227891,0.76412845,0.9989821,0.56597054,2.6461034,1.5386852,159.04326,1.3539366,0.8079664,1.0926591,1.3693233,3.3986313,0.81853557,0.6990203,1.5857223,0.6561887,1.1017731,0.64395016,1.9512334,0.73172957,15.044305
65,0.473087,0.77311397,0.74022824,0.46263513,1.4190888,1.4263997,11.233479,0.6614313,0.4701714,0.79640007,0.58629185,1.0161562,0.6506987,2.1031163,1.1860614,75.959274,1.0543113,0.7133212,1.1833775,1.1358294,4.459731,0.6220843,0.58476144,1.7701224,0.4155468,1.0664656,0.5379382,1.2984966,0.5680911,14.57092
66,0.4751805,0.7024151,0.6576743,0.54867756,1.4557688,1.0876591,12.569984,0.731462,0.4812283,0.96171445,0.6461619,0.9498131,0.52652663,2.727903,1.8906645,87.22222,1.2069334,0.6617334,1.2534592,1.1309832,1.7207317,0.7431937,0.60407394,1.0290793,0.6021457,0.6442702,0.74774843,1.5767087,0.7465167,10.157451
67,0.49991876,0.7092526,0.6441691,0.71308786,1.4030771,0.80263793,13.411731,0.90699375,0.63010764,0.978215,1.1496845,0.82985204,2.5194943,1.8838222,0.84985054,27.249868,0.6300359,0.67696327,0.96895283,0.7788501,2.9522333,0.92516494,0.622845,0.7618908,0.57653296,0.5900334,1.104979,1.5223879,1.1036305,7.1661916
68,0.6789384,0.5859817,0.80951864,0.7038236,1.0600126,0.6841289,16.54784,0.9806374,0.6107048,0.81993645,0.9818216,0.64915025,0.46656573,2.9817672,3.5700297,31.194197,1.418539,0.4904841,0.9529252,1.5219913,1.3143138,1.08094,0.7246961,0.5773727,0.8606048,0.60677165,2.0277834,0.9032914,2.17149,0.7680985
69,0.9076685,0.56489456,1.1483288,1.4700322,0.87024313,1.5167327,20.913713,0.7956412,0.5544807,0.63162214,0.6605225,1.0063032,2.7612567,1.0228083,0.7927761,14.891249,0.72522616,0.62682843,1.6034095,0.6382798,1.3146858,0.6931896,0.8256959,0.7517687,0.48305452,1.0874219,0.95663655,0.5489492,1.0733429,0.5252827
70,0.95253783,0.5149241,1.2533417,1.4349722,0.8325691,1.3268566,22.468084,0.8089123,0.5875915,0.5982917,0.62009305,1.0877959,3.773346,0.99424404,0.8111159,28.104258,0.7607806,0.5616762,1.8682094,0.6503305,1.4441558,0.54629225,0.7764523,0.96349794,0.4496223,1.2424033,0.6844316,0.5491809,0.74721044,0.72564864
71,0.7655872,0.7281178,1.4765599,1.244537,0.8934199,1.733381,17.464989,0.79468024,0.6083771,0.7462395,0.75443155,1.0566307,3.8008432,1.0793719,0.6206458,19.123245,0.6586716,0.71882814,1.3800288,0.60130227,1.3564037,0.517414,0.72327006,1.0161351,0.4409085,1.3154509,0.59438443,0.57050085,0.6653707,0.9452424
72,0.8234974,0.57510173,1.25612,1.9101968,0.83072734,1.2917445,13.135204,0.7079451,0.61188924,0.70677334,0.7644384,1.0236813,3.610477,1.0415303,0.80795807,19.513546,0.75498575,0.6336383,1.5916338,0.6890708,1.4192917,0.60174346,0.7197458,1.0520207,0.7196629,0.96112704,0.6222099,0.8464481,0.6868655,2.2766974
