,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
EGR1,-0.0350956,-0.58111286,-0.26851618,0.51482093,-0.22215174,-0.51169974,-0.45930383,0.15232128,0.40391588,0.505892,-0.15739132,0.37243292,0.56804377,-0.48453957,0.20295368,0.006210491,0.39316788,-0.27736205,0.04710809,-0.37227523
CTNNA1,0.41317284,-0.1444628,0.0073258155,0.03021032,-0.027386978,-0.008945993,0.009593064,0.013334602,0.020963196,-0.036359206,-0.0038356055,0.24388929,0.26439655,-0.005660475,0.17333384,0.0056912387,0.112861685,-0.21023487,0.01905205,-0.054137904
PAIP2,-0.369192,0.41709924,-0.5190404,-0.4209775,0.15020226,-0.09784771,-0.3311451,0.1637897,-0.12412608,0.3425076,-1.2585056,-1.522948,-0.03562273,-0.02057083,-0.8726036,0.08352353,0.4970033,0.5089776,0.011348425,0.38547847
UBE2D2,-0.12051911,0.12686913,-0.04578859,-0.16674188,-0.06265214,-0.024508217,-0.12428823,0.23746459,-0.49492678,0.23622707,-0.00302094,-0.04368454,-0.1996018,0.0028720817,-1.567902,-0.02590214,0.46120876,0.16577528,-1.2017334,0.072894216
CXXC5,-0.24797787,-0.26949987,0.04205801,0.14772925,-0.03471903,0.015873352,0.2532707,-0.057289798,-0.05303459,-0.16880606,0.017883068,0.17308193,-0.24133104,-0.008288446,-0.07737473,0.013316227,0.25807887,-0.3008689,0.01120846,-0.3321696
CYSTM1,-0.14346217,-0.12090051,-0.0045175715,0.003782426,-0.034336682,0.0061940416,0.18778208,0.012712229,-0.03806559,0.0013170231,0.0069176042,-0.03298838,0.25725845,-0.0014553195,-0.5151755,0.00053570064,0.004513122,-0.10444358,0.057310898,-0.042581707
PFDN1,-0.14267103,0.5654056,-0.46639484,-0.8943547,0.70555925,-0.12624875,-0.14160241,0.4044803,-0.61529857,0.015965011,-1.2392476,-0.9744936,-0.88890785,0.219764,-1.1742831,-0.11895925,-0.4231413,0.28625813,0.56847715,0.89356613
EIF4EBP3,-0.7939818,0.10051565,-0.26685596,0.13544196,-0.18233214,0.44037667,0.45339945,-0.513224,-1.5844928,0.25285795,0.20190899,-0.9458987,-0.34984326,0.525123,-1.4459281,0.3737903,-0.0041954624,0.07751145,-0.7886674,0.66857195
NDUFA2,0.039845023,-0.055571135,-0.006714384,0.016713757,-0.0089090625,-0.006731281,0.033043247,0.019894414,0.0060641402,-0.019347578,0.0010045348,-0.042157732,-0.017379353,-0.0017959174,0.14687982,-0.0013881671,0.12540784,-0.104780816,0.07231598,-0.009868699
IK,-0.8208759,0.28257218,-0.0026891367,-0.1473319,0.09092175,-0.34726906,-0.56690574,0.25534922,-0.1172029,0.17990457,-0.21355577,0.15120365,-1.56559,-0.021987312,-1.1158473,0.08307357,-0.98486066,0.41609204,0.08191595,0.47759777
ZMAT2,-0.029955408,0.56562096,-1.633795,-0.020134289,-0.18327792,-0.1602032,-0.5145111,0.38589683,0.024723416,0.3646046,-0.39526957,-0.29925975,-0.7830866,0.28250867,0.320552,-0.26827067,-0.6929097,0.33358288,-0.058485817,0.54576904
