,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 8
60,14.209138,1.8908924,0.39285144,0.56783944,0.46988237,0.516183,1.9297206,1.0915848,0.49680972,0.8660303,0.6803768,2.1185884,1.0757484,1.9369851,1.8994501,2.2364419,0.38752264,11.169155,0.8088332,171.2977,1.6982427,1.5702016
61,12.253566,1.9131472,0.4010607,0.5974298,0.5007925,0.5087801,2.171403,1.0361161,0.45944482,0.70200765,1.1615758,1.5147827,0.96086913,1.712861,1.95084,1.0057787,0.43369332,10.11356,1.541165,118.47682,1.6564999,1.5259663
62,32.591606,2.3041413,0.38040608,0.43331516,0.49362823,0.3863418,2.1112328,1.4718504,0.36668855,0.83195084,0.6596204,2.4725206,1.5779699,1.5725532,4.30359,0.5624059,0.37738252,12.652474,0.9782224,25.304241,1.2757506,1.4029077
63,1.1884024,4.0301414,0.41130012,1.1706818,1.239164,0.4811382,12.112642,1.0313625,0.29793704,0.58725256,2.1842852,0.84017766,0.46859616,1.7695879,1.2790902,0.5875739,0.60938895,22.394667,1.1060878,11.212211,1.3945739,1.2464197
64,1.3729684,2.606658,0.4625519,0.85074604,2.3920481,0.493427,9.634658,1.1731274,0.29348934,0.699367,2.4391766,0.830781,0.69285786,1.1258323,1.1038519,0.5561032,0.5408618,32.080322,3.3153868,13.660539,1.3271998,1.0530158
65,1.2518246,2.7913485,0.39284897,0.9673121,0.932783,0.54245144,11.81442,1.0428874,0.31761575,0.72417223,2.1628754,1.0236363,0.7797869,1.2785072,1.4317381,0.524989,0.5004893,33.640816,3.273302,13.2667,1.4899602,1.1514064
66,1.4241344,2.7853856,0.41781613,0.8146311,0.73543733,0.5627348,11.457675,1.2154058,0.31997102,0.93141377,1.6237166,1.0748601,0.8935445,1.0982672,1.3137212,0.63594115,0.6332302,48.454327,1.889906,12.642754,1.4514396,0.98628604
67,1.5132515,3.039897,0.45701486,0.7180969,0.6867548,0.54536605,13.203727,1.252236,0.33038214,1.1203825,0.7384514,2.3733008,1.0888122,0.84712976,11.293658,0.7120728,0.48461905,248.55878,0.94873154,10.877234,1.474287,1.1012586
68,2.118823,3.5797577,0.33579582,0.48199338,0.39719892,0.48650974,16.573793,1.2593665,0.321414,1.0938702,0.73604566,1.7913957,1.2058522,0.97461253,5.358143,0.79860264,0.6086157,362.97705,0.7606366,19.460663,1.2622681,0.9393913
69,6.352442,3.51059,0.3447283,0.50244355,0.3871569,0.45137316,11.033979,1.050736,0.31286454,1.7523564,0.7466393,1.9286643,1.8137746,1.609166,1.6145358,1.2282013,0.855708,170.86461,0.29295635,130.6845,1.3122915,1.1622624
