,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
SH3GLB1,0.031434387,0.5537797,0.042867105,-0.7428484,-0.22583114,-0.0046992414,-0.20392562,0.12173673,0.009281965,-0.7812204,0.20326912,0.60724586,0.2860604,-1.1000465,0.25277293,0.059984062,0.37248084,-1.3274775,-0.39920408
SELENOF,0.00886399,-0.578084,0.0012738826,-0.06349491,0.051155332,-0.00038252404,7.440438e-05,-0.03332126,-0.0033619623,-0.122021034,-0.07377719,0.58771926,0.26960382,-0.01562201,-0.23287822,-0.028988365,-0.20757417,0.2899361,-0.0048377267
GBP3,0.31701145,-1.6778742,1.0910951,-1.0363002,-0.19989514,0.06361098,0.5368163,-0.50607777,-1.981965,-0.12900479,0.22710408,0.80788946,-1.6265458,-2.1015286,-2.5288303,1.415049,-0.71776825,-0.06491901,-0.01861833
GBP1,0.111114785,-2.8863206,1.0939779,-2.0227401,0.07772638,0.6370181,1.1715313,-0.607504,-2.5983233,-0.7724113,-1.0625087,-0.90919054,-2.0276558,-0.43221346,-2.3745,1.8395393,-0.8662677,1.0921726,-1.2629297
TMED5,0.06096593,-4.1419497,0.3290378,0.22901177,0.6130382,0.061248686,0.44066063,-0.553619,-0.41146004,-0.9169874,0.75322366,-1.4884824,-0.67025125,-0.12858269,-2.2645335,0.57437086,-0.3278071,0.464619,0.69684887
CNN3,-0.045801055,1.3266908,-0.30253035,0.1192461,-0.040345352,0.003718633,0.026604703,-0.103115655,-0.03405324,0.19999342,-0.44266003,0.8472695,0.32873476,0.4279426,0.47156146,-0.5786954,-1.148675,0.3715151,-0.24408899
SARS,0.035310756,-0.29920495,0.17135136,-0.21704327,-0.0339906,-0.033897117,-0.31197312,0.34972733,0.010628978,0.33448997,0.014145933,-0.60087746,0.16176955,-0.081607014,-0.4192331,0.1037463,0.5087263,-1.1280324,-0.074071586
AHCYL1,0.06485842,-0.2968178,0.007798655,-0.106580116,-0.008832956,-0.009218796,-0.012567363,0.031100482,-0.038819924,-0.2890234,0.12235975,0.5163675,-0.7015659,-0.16162717,0.24728407,0.086727925,0.3137985,-0.9563331,-0.07122499
SLC16A4,0.08897129,-2.7669222,0.13591868,0.099418595,0.39786872,-0.024651092,0.4176863,-1.4355285,0.026617678,-1.9432586,0.45276332,-1.3207998,-1.9819043,-1.5302064,0.109392874,0.280325,0.021510832,0.6601299,0.82374495
LAMTOR5,-0.00786032,-0.7230426,-0.033828992,0.07306715,0.04678764,-0.0015650842,-0.0015696347,-0.48091826,0.0057374877,-0.33101755,0.052244365,-1.1609774,-0.4096157,0.002250839,0.23836936,0.007818532,-0.13608204,0.39593613,0.07042595
ATP5PB,-0.013966814,-0.8735453,0.09074158,-0.15229319,0.06028179,0.0057374514,0.01499915,-0.40836203,-0.011186077,-0.7599265,0.010560068,-0.048939828,-0.4642203,-0.7103145,-0.43853363,0.14331084,0.3696013,0.28885788,0.18432316
RAP1A,-0.12417923,-0.9572611,0.05069918,0.03034017,-0.036432568,0.014885416,0.016090175,-0.06339367,-0.0030063333,-1.2614655,-0.30024952,-0.3418658,-0.59657973,0.44712538,0.19068982,0.002454336,0.5315556,-0.5971194,-0.0523623
CAPZA1,-0.018002596,-0.7943552,-0.13004927,-0.06263946,0.051591393,0.0035591172,0.27675164,-0.38978013,0.00786849,-0.08469855,-0.13137335,-0.57165396,-0.057847846,-0.59057426,0.1765168,-0.044608247,-0.33936435,0.37968946,0.26258266
RHOC,0.008700246,1.4310343,-0.26689452,-0.032382607,-0.21840452,-0.035910223,-0.1324971,0.15573993,0.010102405,0.39803317,-0.26911274,0.7982763,0.5680738,0.1522161,0.5632842,-0.5033384,-0.539987,0.032966387,-0.5020495
CSDE1,-0.020916563,1.0697055,-0.065368965,0.09413856,0.008577879,-0.0024541717,0.014769876,-0.16791622,0.00046741476,-0.11826396,-0.13970366,0.746441,-0.0058469055,0.23596819,0.60932314,-0.2369286,-0.6751021,0.3673469,-0.08401369
ATP1A1,-0.01577326,-0.77121294,-0.061392512,0.15682392,0.08750241,0.0009091353,0.021709811,-0.07327665,-0.022517301,0.15565175,0.026066653,-0.56299275,-0.76981276,0.12914185,-0.07308213,0.00024440704,-0.2880531,0.3548609,0.08732333
HAO2,0.2688383,-5.5474815,0.60426825,0.6004757,0.93340135,0.42373976,0.9592186,-2.8398862,-0.34830517,-2.342874,1.6175886,-2.331655,-2.2934916,-2.37617,-0.85824186,0.7041606,-1.8033644,-0.2363058,1.5286111
PDZK1,-0.018774424,-2.6519625,-0.022785367,0.26667565,0.19900264,-0.0021543235,0.24545625,-0.4329758,-0.013057521,-0.36271018,0.18378772,-2.8859363,-0.87987846,-0.39536944,0.14721796,0.12876894,-0.14451674,0.5514498,0.4473127
RBM8A,-0.009277776,-0.1542481,0.0038844827,-0.0027815856,0.0015097009,-0.00033919272,-0.031223528,-0.010708673,0.0109336395,0.27020013,0.0048922333,-0.3342349,-0.23811892,-0.024473593,0.03330445,-0.011077068,0.04767052,-0.3037617,0.03283135
MTMR11,0.16673826,-5.2575474,0.382904,-0.44956413,0.3937461,0.13631994,0.52563596,-0.47731477,0.027064065,-2.5529861,1.0196332,-2.4608426,-0.3588645,-0.88706607,-1.8162513,0.4841216,-0.18283154,0.34137723,0.76634765
APH1A,5.5451448e-05,-2.608614,-0.021405242,-0.19585288,-0.23948026,0.0018354667,0.020011773,0.20727089,0.019842401,0.15941241,0.11534062,-1.7717879,-2.1011078,0.115012325,-1.6117563,0.038409732,0.5473614,0.0050059697,0.16969039
MRPS21,-0.0035489162,-0.8327117,0.006138318,-0.13961688,-0.00042126706,0.0038345985,-0.0126791615,0.061137855,-0.0001593003,0.18159804,-0.0064067272,-0.5270922,-0.13538733,0.17511787,-0.21260548,0.08259959,0.14671147,0.11544606,-0.24848315
MCL1,-0.03254535,0.24062347,0.03489136,0.019895442,-0.04464459,-0.0018639796,0.0048450353,0.35634887,-0.011280141,0.6641441,-0.14649868,0.34358275,-0.94913626,-0.0076968437,-0.018495483,0.05242479,-0.19265032,0.23130442,-0.18623307
ENSA,0.014221235,-0.33065277,0.0021145816,-0.5123385,-0.075442106,0.004386973,-0.01448293,0.29406878,-0.004091119,0.3976822,0.018906545,-0.34755406,-0.11410531,0.032185487,-0.21333359,0.034718934,0.35391003,-1.1910825,-0.08566253
CTSS,0.025307843,-2.210245,0.8976384,-1.7555481,0.22265741,-0.24356385,0.5349484,0.049130462,0.005033101,-0.36014396,-0.060454965,-1.5530558,-1.2111925,-1.3502272,-1.9907178,1.3307457,0.537156,0.16657111,0.14369263
CERS2,0.00934328,-1.4992864,-0.005109523,-0.058340333,0.103943095,-0.010078404,0.13686074,0.012051884,-0.018766271,-0.95601135,-0.036974438,-1.2785447,-0.14406426,-0.26322412,0.16115083,0.1954415,0.1464074,0.17405976,0.38201934
PSMD4,0.064886026,-1.2002144,0.17564443,-0.38322,-0.28878152,-0.005467026,-0.041690953,0.45890656,0.022491194,0.12805457,0.077622294,-1.9272052,0.43518054,-0.71750706,-1.3082677,0.26079005,0.6866552,-0.8325273,0.2720102
PSMB4,-0.00977304,0.16934812,-0.0147213675,0.0136591215,-0.01568253,-0.0062704193,0.03137579,0.024784528,0.0012037018,0.3458899,-0.0468977,0.511359,0.07891695,0.09838865,0.4065868,-0.02053142,-0.64445174,0.14255647,-0.13777618
RORC,0.5292118,-3.9031544,0.6931299,-0.63034123,0.18903843,-0.007918504,0.28933737,-0.38263625,0.5250949,-1.2768897,1.2015624,-2.400503,-2.1576574,-2.3956182,-1.406277,0.47564283,1.0717931,-0.5203022,0.17008916
S100A10,-0.0113583645,0.82296187,-0.029259678,0.041087225,0.031844955,-0.0038808077,0.025611563,-0.13879335,-0.008253427,-0.07913292,-0.04485309,0.51514053,0.15378667,-0.16559052,0.45203224,0.0053649833,-0.6424555,0.3849769,0.03603135
S100A11,-0.0029107155,0.9975517,-0.025772322,-0.039551347,0.006725919,-0.014090749,0.035868626,0.023885885,-0.008715934,0.2025309,-0.029841775,0.70855945,0.115630105,-0.0456375,0.40918952,0.06804474,-0.8081539,0.27285284,-0.17909132
