,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
TAGLN2,-0.05863689,0.6218325,1.3033351,-0.3045752,-0.5120364,-0.9520024,0.67566085,0.3311912,-0.78357023,-1.4645103,0.30476606,1.9685572,0.07483356,-1.0612012,-0.0280253,-1.1419928,-0.7223289,-0.82053846,-1.4544075,0.47751376
PEA15,-0.15226534,-2.9595208,1.05331,0.024337621,-1.1308458,0.3865672,-0.32936728,0.6168427,-0.2765129,0.5010634,0.92726094,-1.3462121,1.6885988,-1.1225688,-3.1581979,-0.16512896,-0.12950355,-1.1140553,0.2808824,-2.46693
COPA,0.45428178,-0.2803989,-0.4830389,0.007879727,0.6931738,-0.048762906,-0.18055208,-0.8758889,-0.021421134,-0.068009704,-0.76705223,0.47307995,0.5691955,0.25236657,-2.7850094,0.045867313,0.6178709,0.15094776,0.12728773,-0.6606153
NCSTN,0.9711025,-3.0632434,-3.0673506,0.65394247,0.78533477,0.22099142,-2.1821797,0.023192776,0.29303932,0.03971766,-1.3065866,-2.718025,1.1387208,0.5846055,-0.4367716,-0.5655399,-1.0535214,1.0735203,0.47057384,-2.8033388
TSTD1,-0.104682274,0.057494424,-3.06346,-0.041725922,0.76043636,0.8564514,-2.2582464,-3.526755,0.4673294,0.7539849,-1.8109607,-3.0706718,-0.21525589,0.4588786,0.6032258,1.0744276,0.08199479,-0.48592615,0.83865976,-3.2701447
UFC1,-0.5743832,0.6266072,-0.21567431,-0.065626234,0.4471048,0.4869417,0.008843643,-2.217469,-0.05926289,0.34486356,-2.4909747,-3.087758,0.1847745,0.27060187,0.294214,0.79665554,0.95748454,-1.0742712,0.324297,-0.8025973
ADAMTS4,-1.143053,-2.6725974,0.57253015,-0.14786594,-3.0583434,0.47346926,-1.3449277,1.9026866,-1.9324926,0.3452522,1.7811165,-2.176514,2.2826617,0.15245408,-2.8640826,-1.7653452,-2.7771008,-2.917374,-2.7982721,-1.6345041
NDUFS2,0.079978935,-1.1382967,-2.6955585,0.1339171,1.1669511,0.59780663,-3.5555444,-3.423534,0.095486075,0.4851861,-2.1937497,-2.3799782,0.40761173,1.2382317,-2.2245939,0.44939598,0.78725964,0.27620474,0.24094154,-2.040377
FCER1G,-2.8471427,-3.1515427,1.3714479,-3.6446686,-3.2165265,-3.2465289,0.6656238,-3.031856,1.2182007,1.7246579,1.6461135,-2.5838022,-1.3420238,-2.9363263,0.47472954,1.433932,-2.4235828,-3.1135697,1.5146434,-2.8578897
SDHC,-1.6547377,0.12063374,-0.6476195,-0.51713145,0.8971709,0.63862354,-0.5000282,-1.3559511,0.41953745,0.32638818,-2.3056247,-1.222189,-0.44594997,1.0327986,-0.019595312,0.1750303,0.5415712,-1.0792298,0.8734075,-1.8671504
FCGR2A,-3.5096498,-3.241219,1.6473567,-3.5469732,-3.2495089,-3.5271394,-0.2765968,-0.46858972,1.1022224,1.904185,2.0819306,-2.3578322,-0.8045583,-2.795437,-2.527484,2.0169618,-2.9272976,-2.9132493,0.9600087,-2.433197
FCGR3A,-3.670061,-3.2625873,1.0679615,-3.0987008,-3.5077634,-3.4170117,-0.4383404,-2.680426,1.3625239,1.8548948,1.6842109,-0.707038,-0.9624394,-2.9056547,0.25529623,1.6712791,-2.6588433,-2.9642649,1.4584621,-2.753478
