,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
42,1.4868019,0.6289791,0.56181705,1.2647092,0.5437941,0.3730132,1.9405723,162.11569,2.4929,0.48154587,1.6660279,3.8004127,2.6577091,1.0809888,1.7091057,1.6483256,0.60301965,1.362207,18.798527,1.499834,1.0488268,1.752529,2.393679,1.0240663
43,1.4699683,0.7348756,0.5241614,1.931196,0.5233292,0.36459023,1.8571386,70.264656,4.464025,0.44477093,1.2957975,8.214103,2.4459934,1.6399924,1.4763587,1.7276667,0.59714794,1.3752426,20.72196,1.519969,1.0811175,1.8409748,2.4150913,1.0502094
44,1.1820489,0.61195934,0.5534852,1.2861335,0.41524792,0.32207608,2.107121,53.47279,2.4274342,0.4300213,0.37446713,16.13674,2.4949799,1.7230918,0.99038,1.8042042,0.632897,1.3077636,32.41037,1.5909907,0.96911895,2.1341898,1.3081388,0.9664718
45,1.3608177,0.5808334,0.6167673,1.2290518,0.4348688,0.32852197,1.8782377,84.8543,3.372743,0.42904878,0.39092872,13.611524,2.269312,2.0204124,0.9731839,2.0206573,0.7971301,3.0378847,82.96243,1.5600836,1.1073647,2.7005796,2.6355498,1.1379937
46,1.5107293,0.6139052,0.5038243,1.1335568,0.5051577,0.34278002,2.0954564,311.1132,1.9757473,0.42763197,0.500739,6.9640923,2.6205015,1.8561637,0.9945627,1.9690173,0.87884045,3.75955,98.053535,1.5514154,1.1144068,2.9112587,2.9780638,1.1813614
47,1.606147,0.6480976,0.44680196,1.2231104,0.48810405,0.3078066,2.4186196,93.21179,2.7071562,0.35173637,0.55299383,11.114405,2.6605258,1.8785281,1.0191242,2.0187113,0.9258068,4.7871304,116.72686,1.7871408,1.1356791,3.313787,4.334029,1.1936378
48,1.4626696,0.57128805,0.4138229,1.1495185,0.502043,0.2672829,2.0930588,36.108257,1.991132,0.30790976,0.39631882,33.349716,2.3510978,2.5439963,1.0938984,1.9794023,0.93453974,5.3856926,129.7963,1.9595762,1.1832155,3.2517655,5.3798637,1.110281
49,1.3931553,0.4664194,0.39077276,1.1402926,0.39793247,0.30500922,1.6844223,33.934856,2.96341,0.32914427,0.43236744,35.600616,2.421985,3.3140686,1.1914077,1.9606386,1.0046496,9.071114,164.23296,2.515898,1.2247936,3.8645144,12.791632,1.0595841
50,1.2787309,0.64478964,0.41907904,0.936242,0.4296379,0.2360597,2.1469169,33.184994,2.1734028,0.2795217,0.5465379,35.020046,2.776833,3.1235752,1.3763577,2.1325269,0.99281365,6.4830604,216.14087,2.6272132,1.186256,3.1847663,11.273067,1.0127367
51,1.3407489,0.71853757,0.41217515,0.9423449,0.57394356,0.23665833,2.3707712,34.02373,1.7639831,0.29513794,0.5044464,24.256315,2.8890607,3.601007,1.4778094,2.332652,1.0192753,5.758631,264.88446,2.9817622,1.1415275,2.7974315,12.31013,1.0493184
