,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Metabolin private topic 2,Metabolin private topic 3,Metabolin private topic 4,Metabolin private topic 6,Metabolin private topic 9,Metabolin private topic 10
615.4957687178843,-2.1907582,-4.000119,-4.315212,3.815681,1.538732,-0.950921,-3.6546535,-3.3481438,-3.9797635,-3.966732,2.8823986,-2.3077407,-3.1673608,-3.622558,-0.24443023,1.2231102
617.307072248301,-4.4235015,0.3190086,0.32533488,-4.3656635,-1.1096362,1.0121678,1.4568063,2.4919374,0.3453677,0.7430412,-12.48657,-2.9809525,0.37721357,1.7537454,1.0731373,-3.6106918
617.6419495365926,-4.349235,0.23233823,0.21277167,-4.3138833,-2.5265248,1.0093778,1.3688745,2.5082223,0.08452047,0.7577056,-12.403519,-2.9945278,-0.04219918,1.8953886,0.7499474,-3.5786395
617.9753606282869,-4.403429,0.4745825,0.26163888,-4.1467924,-3.211664,1.0941445,0.9444987,2.5136602,0.4385353,0.8208958,-12.233718,-3.8849359,-1.2875255,2.0294752,0.8489541,-3.3276722
618.3091164648787,-3.9657907,-0.37362066,0.4312433,-3.8907428,-2.9595568,1.317121,1.311652,2.640025,-0.0577306,0.52287567,-10.712198,-1.8748605,-2.7632973,2.2041297,-1.95657,-3.3745835
626.0084241371368,-3.8765926,-0.4553661,-0.099637605,-3.6480112,-3.3900473,1.8343129,1.2017303,2.496965,-2.095951,1.3345932,-10.13665,-2.7968671,-2.8267064,1.8587918,-3.0541968,-3.288902
626.6576566538322,-2.9566827,0.3566932,0.08742753,-4.5632896,1.378068,0.7057925,1.3530167,1.9599288,0.5633331,0.60880727,-13.299774,1.0700082,1.447986,1.352043,2.1309445,-0.14971676
626.9925645287154,-3.7058952,0.39637002,0.1059329,-4.596965,1.130765,0.7816409,1.4320688,1.9696705,0.70453113,0.6485971,-12.732764,0.7290279,1.4191645,1.4652857,2.01992,-2.1300333
627.3258403263696,-4.2003384,0.53381103,0.19860545,-4.4115434,0.16451159,0.937999,1.506553,2.2668338,0.71889216,0.8113361,-12.780836,-1.4635589,1.3604577,1.6652267,1.6788747,-3.4809403
627.6600715072444,-4.516892,0.15261252,0.14985155,-4.425834,-3.7835696,0.99328625,1.6385651,2.447666,0.8184548,0.8075827,-12.260915,-3.403439,-0.97496796,2.0962107,-1.8121856,-3.6111712
627.9938600471125,-4.019479,-0.50392896,-0.64952546,-3.9015682,-3.9758165,0.66814876,1.1561319,2.6421952,0.38269958,1.2996688,-10.778679,-3.2835672,-1.1970357,2.834275,-3.280317,-3.4247897
631.9825059466988,-4.2620807,0.19539802,0.40644515,-4.2672777,-3.1936398,1.2727344,1.2112644,2.5244515,0.2672856,0.93142533,-11.527386,-3.16819,-0.2441912,1.8732028,0.57773703,-3.8773327
632.113831429033,1.2219117,-4.257932,-4.7229652,3.504184,-1.9251602,-4.302876,-2.1416333,-3.5648785,-2.82894,-4.1206675,4.254513,-3.0550566,-0.82104105,-3.7037106,-3.2709537,2.8789775
632.3168808809797,-4.3849807,0.28096804,0.14223954,-4.199984,-3.6673534,1.2480735,1.2956032,2.580244,0.1112547,0.9056262,-12.0750675,-3.6229613,-1.5437531,1.9067165,0.15196334,-3.916043
632.6508208317952,-4.2717223,0.23512572,0.3764756,-4.2154307,-3.9578917,1.3004612,0.9740988,2.522617,-0.044845123,0.84668815,-12.124207,-3.8110085,-3.0226264,2.0053856,-2.300351,-3.7355819
632.9844083206727,-4.0303874,0.09020126,0.4362363,-3.7433333,-3.580867,1.3441389,0.5124605,2.6605642,0.43171495,1.0932393,-10.846696,-3.341219,-3.6851346,2.2627351,-2.7355156,-3.2706714
633.1117401972615,0.9642996,-3.898238,-4.0889273,3.528352,-1.6041746,-3.9518452,-3.6294901,-3.4903128,-2.5293057,-2.789447,4.7428036,-3.233987,-3.0804696,-3.3504386,-2.6075306,2.667662
640.6837182505567,-3.5834858,-1.35954,0.17597702,-3.5526786,-3.5507698,1.4643581,1.6515357,2.4597228,-3.0996726,1.5728527,-9.603752,-2.8824642,-2.1914425,2.177518,-2.7617662,-3.0707722
641.3335183619116,-4.1234007,0.5066103,0.3173796,-4.5735455,0.92080337,0.9331707,1.5185401,2.205676,0.72359985,0.7397648,-12.837294,-0.2935919,1.4660366,1.5738786,2.0222275,-2.9831553
641.667673331466,-4.482876,0.499281,0.18698955,-4.4238024,0.7473657,0.87910426,1.5109658,2.1878018,0.6749996,0.7895286,-12.575698,-1.589914,1.4010059,1.609024,1.9428836,-3.6230054
642.0014831520969,-3.8431745,0.21452735,0.20005165,-4.458225,-0.61951274,0.97316915,1.5763935,2.3239198,0.73447627,0.8044677,-11.830036,-1.5255256,1.250207,1.7362856,1.2204847,-3.53989
642.6692622988348,-3.580128,0.036774475,1.0417539,-3.740759,-3.415569,0.6275226,0.610591,2.537246,0.5021689,1.4378686,-9.687504,-3.052904,-2.105127,2.6659417,-2.6505377,-3.0961888
646.6580257684512,-4.441472,0.4439501,0.38688514,-4.1832056,-3.6769047,1.2919636,1.1092434,2.5445006,0.20625687,0.94289035,-12.243311,-3.6207836,-3.0979884,2.0229266,-2.4798145,-3.631808
646.9925690334887,-4.135377,0.30320528,0.43399954,-4.203897,-3.4221306,1.0002882,0.87999153,2.5947614,0.076166056,0.87864596,-11.621504,-3.207936,-0.9409218,2.0176942,-0.1612498,-3.6189735
647.3260359946927,-4.243287,-0.4836208,0.45116565,-3.8800583,-3.5496035,1.4352517,0.9973907,2.6963732,0.13661467,0.70102316,-11.586271,-3.5153198,-3.5070312,2.0315275,-2.5769143,-3.6167233
647.6599161348003,-3.628971,-1.6454563,-0.58225465,-3.6134188,-3.1866121,1.6348526,1.0954816,2.8016129,-0.62163204,1.0529984,-9.660961,-2.918384,-2.885126,2.519223,-2.416306,-2.9224102
655.0253372499009,-3.9930897,-0.8433488,0.9564474,-3.865724,-3.7889764,1.5706342,0.928813,2.5481749,-1.2145907,1.5277945,-10.893251,-3.5060198,-3.1337261,2.1644351,-2.9871693,-3.4979448
656.008808959616,-4.127382,0.3375194,0.17440005,-4.534086,-0.49900416,1.0380386,1.5920705,2.288931,0.74459624,0.78845537,-12.363487,-1.7800633,1.2681258,1.7346538,1.4451593,-3.7820404
656.6769149669507,-4.2158027,0.21104433,0.3433206,-4.3297205,-3.8712144,1.0384177,1.5802543,2.3451982,0.77075326,0.95179355,-12.466351,-2.977405,0.7126837,2.0045023,-1.7792242,-3.983931
657.0108110592557,-4.368711,0.24917288,-0.123772964,-4.2193246,-3.904037,1.1086429,1.2090275,2.6520693,0.5650583,0.736382,-11.613346,-3.8422618,-3.2791162,2.3689013,-3.4166508,-3.6341467
661.333466947226,-4.198461,0.37786016,0.4401439,-4.2656946,-3.7548041,1.4211588,0.9832341,2.580782,-0.3370913,0.9185496,-11.815814,-3.6266215,-3.3453674,2.1072083,-2.1430385,-3.747692
661.6680914675109,-4.334962,-0.03368438,0.64871204,-4.1437516,-3.6507218,1.0697632,1.28629,2.6951485,-0.7476349,1.1564769,-12.103193,-4.0062127,-3.4370863,2.06,-2.1373904,-3.5495512
662.0016556758274,-4.2048993,0.19455354,0.4862003,-3.8808603,-3.7074335,1.1388453,0.1959067,2.8179064,-1.2150388,0.710993,-11.020952,-3.351938,-3.3496442,1.7877882,-3.180635,-3.7419689
664.8366094006194,-0.16892642,-0.014840325,-0.241723,-3.6861827,1.721098,0.39997524,1.0332503,1.4928166,0.3643349,0.1955138,-10.643521,1.3692658,1.1028854,0.91850454,1.8259013,1.8070294
665.3361093271064,-1.6238863,0.26754004,0.031690568,-4.357679,1.6368549,0.62849987,1.2060279,1.8208443,0.57110727,0.40173376,-12.530873,0.66601825,1.2124703,1.0770508,2.1311808,1.3349015
665.8375133345984,-4.2140093,0.498355,0.19907229,-4.573739,-0.26147187,1.0359545,1.3934697,2.3179939,0.5738731,0.5532947,-12.966564,-3.3440042,0.7525938,1.5694559,1.8267608,-3.2170773
666.3378653010126,-4.170257,0.082007356,0.3686512,-3.5441926,-3.5610144,1.3668083,0.9789197,2.6070056,0.19346157,0.7744995,-9.654974,-3.1992967,-3.146306,1.4186771,-1.4688917,-3.2035537
670.6842149008764,-4.484487,0.48347855,0.12953618,-4.3627186,-3.7705624,1.2103709,1.5071197,2.3924127,0.65215015,0.939718,-12.660375,-3.6378422,0.36837465,1.9977031,0.42281282,-3.725194
671.0184734885361,-4.4426622,0.08804991,0.33156717,-4.357771,-3.8935263,1.2608293,1.65908,2.441757,0.69548786,1.0105704,-12.368192,-3.6251278,0.22889356,2.0476017,0.37943035,-3.9397528
671.3518386047365,-4.183956,0.18379922,-0.10259268,-3.972153,-3.889537,1.3574258,1.0401279,2.6160123,0.15355788,0.9667422,-11.692112,-3.809822,-2.0846891,2.157292,-2.5207598,-3.8002052
671.686369461285,-3.705997,0.08154992,0.3505375,-3.911333,-3.4727697,0.9653724,1.1488198,2.4901776,0.7359759,1.0462117,-10.482659,-3.2016056,-2.8069663,2.4385078,-2.531567,-3.0489728
676.0087263541498,-4.1622596,0.053715434,0.6793126,-3.8308976,-3.8162382,1.1335353,0.63986766,2.7038574,-1.5184028,1.2536972,-10.895603,-3.2379236,-3.100756,2.0728433,-2.3152683,-3.611372
676.3440946859712,-4.028513,0.22069246,0.19775775,-3.7790797,-3.7085524,1.3042542,0.43453842,2.6304524,-0.63117903,0.8185002,-10.363498,-3.4235923,-1.3510965,2.2294338,-2.7854404,-3.3773465
676.6770209830461,-3.7317472,-0.62396437,0.8609647,-3.4851325,-3.2036912,1.1900392,-0.35448676,2.9666097,-1.6584044,0.7778056,-8.831875,-3.2419212,-2.2854843,2.1673133,-2.5303488,-3.4085648
685.3596181849049,-4.4622965,0.25856334,0.52274936,-4.2704887,-4.0128303,1.1774925,1.552874,2.4441102,0.25801542,0.9341843,-12.057393,-3.4717226,-2.7703996,2.2744796,-2.2219899,-3.81265
685.6938257835305,-4.326864,0.056470074,-0.06880612,-4.178709,-4.0698295,1.0166479,1.2242886,2.5212317,0.70296526,1.088199,-11.329439,-3.7968383,-0.48850793,2.2385728,-3.2782826,-3.8076286
686.0279313931892,-3.5824385,-0.79558444,-0.69690657,-4.164843,-3.74352,1.0435686,1.606507,2.697547,0.708442,1.1752303,-11.383388,-3.116498,-2.4514847,2.6408124,-3.2829535,-3.565724
686.8496251342218,-0.5232934,0.025814448,-0.22623585,-1.7106156,1.8029326,0.38637823,1.0124387,1.4443713,0.40490168,0.21104102,-8.7080145,1.4593009,1.0768211,0.917186,1.7349762,1.7280171
687.3504403753851,-2.656828,0.28286213,0.016954174,-4.5970855,1.6692736,0.64470863,1.2316784,1.736476,0.54592824,0.4025166,-13.921942,0.9413816,1.1649228,1.0609179,2.1210508,1.2748036
687.8507106093722,-3.7651987,0.2615177,0.1851563,-4.36908,0.8728389,0.96460545,1.2753503,2.2175348,0.46692723,0.56857204,-11.988961,-2.8377376,0.90716124,1.4741173,2.0814128,-3.275071
688.3515765378075,-4.2174907,0.0779962,0.774744,-3.9551866,-3.9002209,1.3513305,0.74319154,2.738097,-0.7156266,0.7854159,-11.428917,-3.75792,-3.5342684,2.0242908,-2.4499679,-3.772628
