,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Metabolin private topic 2,Metabolin private topic 3,Metabolin private topic 4,Metabolin private topic 6,Metabolin private topic 9,Metabolin private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
44,0.59228104,1.3769788,0.708182,0.4254228,0.33067048,0.77125126,1.868305,3.1341317,34.059593,1.4507936,1.8872092,0.4372664,2.0520606,10.291108,0.5075297,0.6867187,0.7353415,0.5043268,1.0865123,1.1671315,0.5552107,1.0201676,1.0465043,0.8226344,1.2530106
45,0.5958371,0.8229506,0.64979386,0.4325235,0.2829687,0.5719948,3.1144376,2.3688185,46.353966,1.1563014,2.218192,0.3689501,14.563235,2.4655845,0.45822147,1.3940498,0.56364906,0.4479831,1.1589805,1.0597228,0.50106454,0.50993717,0.9299599,0.8418511,1.0857352
46,0.64913094,0.70859396,0.7691126,0.43146327,0.37110096,0.52750665,2.9166508,2.1856384,32.34397,1.0948527,2.401744,0.54521656,49.342937,1.564592,0.81372786,0.87374973,0.5720875,0.4477835,1.1533597,1.0553157,0.5031666,0.5096444,0.9365624,0.8431597,1.0884918
47,0.85371697,0.8861211,0.59669936,0.5352849,0.36436278,0.58952266,1.526262,1.1208799,53.498558,1.0045443,2.13552,0.53968173,56.64516,1.6937501,0.7646384,0.7454507,0.47076163,0.36966527,1.070336,1.2686828,0.42742503,0.4610635,0.9478866,1.1713188,1.2910093
48,0.91475105,0.9593177,0.6241691,0.5699833,0.4014964,0.66124,1.267777,0.92244405,64.53995,0.8722819,2.1294098,0.43869033,10.46335,1.3589891,0.61560315,0.8410359,0.5702704,0.36787277,0.9337818,0.92729616,0.553086,0.5871981,1.0309103,1.1211671,1.3651881
49,0.6920315,0.943883,0.58909243,0.4459098,0.35627663,0.6780747,1.4002444,2.0227873,47.5011,0.9929056,1.9364096,0.4121805,2.2105258,2.0810733,0.50686157,0.69581383,1.0308634,0.6826853,1.6243395,0.5682828,2.336844,2.5930126,1.2780522,0.60727876,0.759435
50,0.7701372,0.9051541,0.5641492,0.45841888,0.3321714,0.6074121,1.5588415,1.5559075,44.42295,1.258965,1.9873626,0.49974257,1.5066682,13.901402,0.5912758,0.5550705,0.65073633,0.39032724,0.9712889,0.8814772,0.6481577,0.7047661,0.8693036,0.7746088,0.9556905
51,0.71804667,1.4346642,0.6363771,0.42234153,0.29760057,0.66187817,2.143865,3.4688282,35.1286,0.809068,1.9693722,0.5347417,1.1762892,15.413056,0.5920375,0.4713649,1.176251,0.6735361,0.8005336,1.0454596,0.52363664,1.399597,1.0228417,1.1326828,2.004962
52,0.6483847,0.9280499,0.6290957,0.42414945,0.3009513,0.6556411,1.9854779,3.3428414,36.098747,1.1048908,1.936502,0.5785466,1.8942584,40.363117,0.6525676,0.5322052,0.47534674,0.31770706,0.92096263,1.1354678,0.42171922,0.4676954,0.81829125,0.74720454,0.98879224
53,0.6335194,0.8423867,0.49482873,0.44580212,0.2645415,0.5464423,1.9094405,1.9836975,46.839222,2.1794946,2.046388,0.50656646,1.6531676,15.076431,0.5874752,0.528281,0.31803888,0.25918648,1.0404568,1.7758133,0.37596166,0.5016234,0.8000732,0.92702675,1.0191197
