,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 6,ATAC private topic 9,ATAC private topic 10
627.9938600471125,-4.0223923,-0.6780865,-0.74705774,-3.9068205,-4.0095415,0.5900018,1.1800417,2.729806,0.23995319,1.2827891,-10.921275,-3.2714589,-0.8941375,2.7659914,-3.2254891,-3.4717634
631.9825059466988,-4.288382,0.23785917,0.42043096,-4.2686076,-3.1966326,1.2728262,1.2139125,2.585322,0.26907396,0.86740124,-11.45689,-3.0837128,-0.1188195,1.8158784,0.62190247,-3.9131598
632.113831429033,1.1901829,-4.2868896,-4.733593,3.563969,-1.9786732,-4.3239865,-2.2483356,-3.6234057,-2.8775108,-4.2483,4.0819373,-2.941588,-0.38466236,-3.7394898,-3.1385124,2.9647796
632.3168808809797,-4.4183083,0.28302816,0.14724523,-4.1930423,-3.7005992,1.2570903,1.315976,2.6427767,0.06773199,0.8523797,-12.150795,-3.5957031,-0.87745214,1.8355657,0.3094859,-3.9587252
632.6508208317952,-4.286269,0.22843549,0.37686917,-4.224156,-3.9925358,1.2927401,0.99000776,2.5846884,-0.14553325,0.8067744,-12.247108,-3.8098137,-3.1065648,1.9638829,-2.3044806,-3.782162
632.9844083206727,-4.0589147,0.045557845,0.45452946,-3.748629,-3.6005156,1.3211745,0.52611506,2.7234323,0.3871313,0.99851525,-11.006941,-3.2527297,-3.6188545,2.145456,-2.7449257,-3.2897735
633.1117401972615,0.9122452,-3.8559291,-4.114806,3.5803678,-1.5642455,-3.977986,-3.6926835,-3.5460734,-2.5776,-3.1597211,4.4874463,-3.1774714,-3.0174372,-3.4276776,-2.6543226,2.813056
640.6837182505567,-3.5979004,-1.2022258,0.14219676,-3.569723,-3.5380685,1.4213449,1.6481661,2.5363224,-3.2457278,1.5570526,-9.709963,-2.841164,-2.2640712,2.2158413,-2.7345946,-3.086604
641.3335183619116,-4.1763024,0.5209492,0.30885553,-4.586002,0.9615717,0.93363935,1.5217642,2.2723668,0.74718773,0.6750641,-13.011789,-0.20705622,1.4436533,1.5272763,2.2724547,-3.031213
641.667673331466,-4.5143747,0.5215191,0.17603032,-4.4273267,0.75057864,0.88472897,1.509491,2.2519941,0.68498343,0.7249099,-12.891779,-1.3853853,1.4102768,1.55912,2.160654,-3.7225666
642.0014831520969,-3.7754815,0.24918437,0.18308993,-4.4736347,-0.55680805,0.9715034,1.5792829,2.385843,0.7467846,0.7484823,-11.372765,-1.4993522,1.2603127,1.6795897,1.4535891,-3.653043
642.6692622988348,-3.6152816,-0.14151853,1.0714386,-3.7522764,-3.4317212,0.58371276,0.75733757,2.568978,0.45605946,1.3868767,-9.919788,-3.1034,-2.0788121,2.6616833,-2.7147696,-3.1784067
646.6580257684512,-4.472231,0.42423135,0.40699306,-4.196591,-3.6722748,1.2986661,1.1458168,2.6040118,0.16920385,0.8949314,-12.403491,-3.5545259,-2.9185638,1.9720011,-2.3551004,-3.6351738
646.9925690334887,-4.117341,0.3210197,0.44179872,-4.215929,-3.426902,1.0001389,0.88956434,2.6541975,0.0621915,0.82768905,-11.720879,-3.0953834,-0.7088745,1.946808,-0.52157146,-3.6182106
647.3260359946927,-4.278138,-0.54580396,0.465472,-3.9010077,-3.5968895,1.4275796,1.0123245,2.7472816,0.04596323,0.6161792,-11.763251,-3.5118425,-3.4657786,1.985791,-2.8487241,-3.6229396
647.6599161348003,-3.718485,-1.7820182,-0.50727725,-3.6340184,-3.2018328,1.6787926,1.1260284,2.8387008,-0.53204405,0.93467265,-9.787577,-2.903991,-2.9767506,2.4927819,-2.5769548,-2.9421492
655.0253372499009,-4.0178566,-0.80161494,0.9630778,-3.8807216,-3.819216,1.5620258,0.9290973,2.603862,-1.0870577,1.4796457,-11.036446,-3.515962,-3.199328,2.1805875,-3.0074618,-3.5387664
656.008808959616,-4.100547,0.36920425,0.15862775,-4.551209,-0.5048366,1.0417361,1.5946721,2.3638973,0.75674516,0.73650396,-12.351809,-1.8998125,1.3130784,1.6838841,1.6686678,-3.8175774
656.6769149669507,-4.251712,0.23537533,0.34148753,-4.3417187,-3.8903327,1.035855,1.5791055,2.4165857,0.7814106,0.9069805,-12.553297,-3.1065757,0.85168594,1.928118,-1.8767295,-3.9989784
657.0108110592557,-4.3982005,0.30908746,-0.12430929,-4.2229705,-3.8944983,1.0745052,1.210969,2.7189982,0.5933887,0.66534704,-11.696028,-3.788827,-3.1817126,2.303753,-3.521695,-3.6199198
661.333466947226,-4.219417,0.30172408,0.43067586,-4.26931,-3.8110747,1.4503738,1.0248827,2.6475668,-0.47847474,0.863019,-11.95718,-3.604974,-3.189784,2.084391,-2.2840128,-3.7868133
