,Shared topic 1,Shared topic 3,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 3,RNA private topic 4,RNA private topic 6,RNA private topic 7,Protein private topic 2,Protein private topic 4
79_7,47.900665,2.627275,1.0189189,0.78765416,0.77232724,28.183731,1.7294698,3.493066,1.1137321,4.2420206,0.56693894
48_36,8.182069,5.12693,1.6657944,0.9149537,1.7581089,3.935859,7.3018928,0.7057992,7.1207814,3.2783346,1.9422745
120_65,11.295431,3.6023788,1.0965908,1.8153487,0.89982116,26.03745,1.3214556,1.7113868,1.8568252,5.593329,0.6089467
106_21,4.5563364,4.435852,12.10936,0.9780837,1.4940588,3.1875002,41.649536,4.0686593,0.608379,27.806429,1.7488465
117_68,4.4313135,4.46401,11.027399,1.8717401,0.85342073,6.4618006,1.1975336,0.7841525,1.4274025,27.444338,2.3013005
86_19,2.5262709,49.786976,0.5162244,0.68804866,2.3014886,2.0296087,0.7160049,0.56875896,0.72220534,1.9386818,3.1682072
76_45,5.496227,4.353194,0.79918355,6.112466,0.9043794,23.639858,1.1914799,20.309164,0.82343227,4.192851,1.3244998
86_48,12.961267,3.6040716,1.1727257,1.7720089,1.0542015,10.533846,1.6436155,25.879208,0.952164,12.48757,0.792083
94_60,43.003525,2.5867078,5.356693,0.9383489,0.633243,5.323221,1.3402314,0.95658576,1.1519942,101.04745,1.3117799
46_48,28.726389,2.3519077,4.574957,0.7339006,0.6534293,4.4505706,1.6215001,0.7289186,1.6235607,4.523213,1.407965
119_50,4.04161,12.6286125,0.85148513,2.6944947,1.4536892,5.49343,1.1873496,0.9617768,1.8502665,3.3335302,0.96496946
44_40,2.2228262,43.688972,0.5011982,0.5550443,3.1760616,1.4512713,0.5647687,0.3862302,0.7851914,3.8646564,14.462876
29_35,23.49846,2.5220945,3.6892745,0.7774968,0.51114124,4.686057,1.1790092,0.84505177,0.7166389,7.0908546,0.8924331
44_30,2.4609299,16.80923,0.62858355,0.73097384,167.99373,2.174303,1.6989563,0.79168296,3.2396872,3.5261884,1.2483712
117_49,2.5079525,78.812744,0.60505843,0.47433195,2.0237195,1.7792038,0.7958694,0.5149923,0.6598086,2.2561927,7.2904797
67_20,3.4836764,21.9071,0.7323334,1.4287227,0.94396925,6.6324935,1.216487,1.4647826,1.9469022,4.787558,2.0555048
95_54,35.86821,2.6723578,0.86934865,1.0529883,0.80914646,18.102137,1.1837935,2.8339736,1.2507988,3.5868847,1.1838315
80_21,2.3742514,38.3731,0.58165616,0.6266475,11.759492,1.7829558,0.83889467,0.59436977,1.0593189,2.360219,2.0768325
39_48,13.590244,2.8267634,1.8748496,1.8222241,0.67844677,18.431393,1.7241004,1.3231065,1.9679807,7.5964584,1.213162
89_55,22.352875,2.2963495,1.0571547,0.8597086,0.5957698,15.155342,1.445946,2.444267,0.8707047,4.083842,0.8624539
82_49,9.985388,3.7016823,1.3329542,1.3714476,0.9260608,15.285867,1.596458,24.252834,0.8896353,14.925204,1.1035814
77_20,2.2781634,48.5913,0.42602968,0.60150015,2.9897306,1.4432454,0.6556766,0.52013355,0.7166641,2.5453038,2.8307967
36_30,10.46026,5.0132937,1.2555008,0.77037674,0.9257417,21.550327,1.1404905,2.043467,1.5274891,2.5192623,1.1197566
55_31,4.7798448,9.747207,0.9566252,1.0326655,6.397834,2.9287713,1.2378145,0.5895385,29.200966,2.722155,0.8152214
95_25,2.8401935,42.91477,0.5751449,0.631989,3.17488,1.5603857,0.6160659,0.46518964,0.7776804,2.5604658,1.8887446
77_30,2.5780597,32.74327,0.5806252,0.65105534,47.62847,2.2109551,1.3385739,0.696106,1.0233499,2.10571,2.0939713
47_47,17.41372,2.5089252,3.5396717,1.154494,1.0998024,9.494511,1.9248316,1.3454571,4.05862,3.530248,1.4436406
23_44,2.1208222,38.600075,0.47022578,0.55690837,2.3992474,2.0375524,0.68662405,0.48367614,0.83150333,3.921729,2.6135614
85_43,12.017814,3.0797932,1.33016,1.4084871,0.7876463,19.078482,1.6094027,4.541103,1.4546925,11.572445,0.65507436
102_46,36.988228,2.656051,1.1215942,0.735742,0.7465621,26.230625,1.1946822,3.550782,0.98693866,16.130787,0.86618304
78_30,2.3545651,55.47412,0.44338334,0.52552617,6.193161,1.6948503,0.767277,0.5203397,1.0157242,2.6047769,4.9049215
37_33,12.903844,4.4936943,1.253075,0.86002046,1.7874782,9.093675,0.9236599,0.86134785,2.533243,2.4767067,0.72520554
