,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 5
Csnk2a1,0.008594939,-0.014454812,0.038052794,-0.070220426
Tbc1d20,0.031010851,-0.036572777,-0.017614026,-0.051146418
Id1,-0.006234926,-0.108483255,-0.105397284,0.08361684
Pdrg1,-0.12897232,0.037621755,0.16775586,-0.10263385
Hck,0.107831,-0.102458864,0.0066455305,-0.066690184
Plagl2,0.008688181,0.06967358,0.015820904,-0.0022622831
Asxl1,-0.05728056,0.005299393,0.0016121569,0.07338067
Mapre1,0.045173366,0.029436449,-0.0010257261,-0.0853523
Cbfa2t2,0.025055917,-0.040237505,0.007283286,-0.044810575
Chmp4b,-0.07309314,-0.06799986,-0.05301693,0.00040876586
Raly,-0.18873724,0.031239087,0.2622523,-0.1077687
Eif2s2,-0.012607416,0.0807939,0.09009334,-0.0029465342
Dynlrb1,0.0004432248,-0.014846939,0.033591416,-0.03672593
Map1lc3a,-0.023543112,0.010452117,-0.045421004,0.06960769
Trp53inp2,-0.07338135,-0.025496842,0.12881765,-0.08672684
Trpc4ap,0.0105619645,0.02380443,-0.057812117,-0.1320849
Procr,-0.0757318,-0.009150549,0.051213145,-0.08953381
Eif6,-0.082381874,0.07500486,0.07372778,-0.046972286
Nfs1,0.06916879,-0.011177968,-0.0019403044,-0.0381464
Phf20,-0.10768817,-0.089307174,0.045697287,-0.029759299
2900097C17Rik,0.08203734,-0.03895394,-0.056192532,0.0026975162
Aar2,0.015739644,-0.0007377621,0.05023033,0.0042159986
Dlgap4,-0.053720314,0.1345278,-0.0064262133,-0.087099314
Myl9,-0.113558024,0.00938771,-0.07509279,0.034517154
Rab5if,-0.009996407,0.033724397,-0.029966606,-0.0024746908
Rbl1,-0.043407004,-0.00033271924,-0.037161898,0.12236567
Manbal,-0.026810087,0.046171952,0.055897623,-0.071912445
Tgm2,0.012401846,-0.06298658,-0.082739316,-0.011400102
Ppp1r16b,0.022830192,-0.1486997,0.124825045,-0.06533796
Top1,-0.05403954,-0.034598783,0.03479547,0.028333414
Plcg1,-0.1062544,0.2844909,-0.040796544,-0.069238
Ift52,-0.04982425,-0.015608048,-0.0924368,-0.031950116
Oser1,0.053166647,-0.08188871,-0.00911728,0.028346403
Ywhab,-0.057988413,0.124313846,0.036128994,-0.09720425
Stk4,-0.107486084,0.09230872,0.07814101,0.0066060685
Slpi,0.03650351,-0.31464282,-0.24471793,0.538634
Sdc4,-0.029159324,-0.08700638,0.09528211,-0.04767732
Sys1,-0.022452455,0.02718375,0.09026379,-0.19105527
Pigt,-0.12394214,0.07827697,0.21697684,-0.16919154
Ube2c,0.066869184,-0.29986104,-0.7292212,1.026047
Pltp,-0.13831931,0.24365875,0.0195877,-0.078291334
Pcif1,-0.0031032357,0.03518058,-0.036242753,-0.094137624
Zfp335,-0.03426434,-0.07303814,-0.03902291,0.12764278
Ncoa5,-0.033255313,-0.085225485,-0.022021195,0.045316003
Elmo2,-0.0249241,0.0010045985,0.040419005,-0.065925
Zmynd8,0.03600736,-0.13856184,-0.05779744,0.012741346
Arfgef2,-0.12016982,0.008866317,-0.010556417,-0.022780959
Cse1l,0.083722524,-0.06800176,-0.013810007,-0.0037669903
Stau1,-0.053044774,0.03012573,-0.022447601,0.010060318
Ddx27,-0.06891422,0.055128433,0.085383266,-0.05283475
Ptgis,0.18165189,-0.31368425,-0.43846858,0.5581415
Spata2,0.023995932,-0.04206396,-0.08403591,0.07444649
Rnf114,0.07526694,-0.011815883,0.001253495,0.0028978682
Tmem189,0.018522754,0.07097252,0.061495733,-0.0070637185
Ptpn1,-0.10198367,0.20153457,0.15089758,-0.06639251
Mocs3,0.09274863,-0.030849265,0.027243529,-0.099543646
Vapb,-0.0063652433,0.07486004,0.15648828,-0.16600043
Npepl1,-0.06474271,0.10013701,0.070547804,0.047634363
Gnas,-0.18593338,0.14706694,0.268911,-0.18824184
Atp5e,0.24780872,-0.13915133,-0.09678663,0.018599968
Prelid3b,-0.06667912,0.064208254,0.0032999078,-0.055092916
Lsm14b,-0.15827322,-0.050970618,0.23844916,0.0064954087
Psma7,-0.05084687,0.04978596,0.17601955,0.007661646
Mtg2,-0.021442885,0.024247177,-0.012752973,0.11172628
Lama5,0.0393089,-0.019077808,-0.008225964,-0.06661464
Mrgbp,0.05786461,0.02791151,-0.014673734,0.0041271974
Dido1,0.07291058,-0.13223922,-0.06307492,-0.018363768
Ythdf1,0.036511447,-0.08156367,0.06710024,-0.00095710973
Ppdpf,-0.18436757,0.056803945,0.24553223,-0.047181297
Gmeb2,-0.025012227,0.012417644,-0.004430284,-0.05055292
Uckl1,-0.019568538,0.02774107,0.1362973,-0.13221927
Zfp512b,-0.026806608,-0.0012640195,-0.04263985,0.023919918
Prpf6,0.072099194,-0.004982848,0.014766887,0.059076205
Rgs19,-0.20872271,-0.02597718,0.31691304,-0.1305632
Pcmtd2,-0.10108999,0.05739187,-0.028793046,-0.03464996
Mrps28,-0.036884457,0.31072667,0.15600301,-0.1933921
Tpd52,-0.06132369,-0.07494337,0.07195876,-0.0060256184
Fabp5,0.056207012,0.006996844,0.055826463,0.030093944
Car1,-0.1171875,-0.13112384,-0.11249171,0.54335606
