,Shared topic 1,Shared topic 3,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,ATAC private topic 3,ATAC private topic 4,ATAC private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 10
65,15.146923,0.82558393,0.8129437,0.6950552,0.6095842,0.582583,1.1672322,2.2706006,2.925107,2.4355748,0.64195454,0.5484434,0.74122304,0.6223945,18.065695,0.49860692,46.991947,0.3068668,1.1134167
66,12.5531025,0.73314214,0.65339154,1.0369198,0.6999756,0.55768144,0.9162862,2.2378836,4.293639,2.8100376,0.6344367,0.5657732,0.7202946,0.62426615,13.623915,0.5279117,36.478725,0.3102508,1.2033046
67,8.645434,1.076622,0.6160025,1.7302002,0.8117945,0.5694603,0.7867879,1.3559132,6.8152113,2.725771,0.6291272,0.48398203,0.5504857,0.5466878,2.9666317,0.7262492,26.782751,0.43397057,3.6975567
68,8.899614,0.92054236,0.49739218,3.844617,1.0352334,0.6620202,0.5772139,1.3263599,9.024933,1.7483683,0.6599827,0.5166546,0.5766534,0.5683705,1.9508244,0.71943897,22.14614,0.43617272,2.6137595
69,8.794317,1.1042479,0.5014905,5.817486,0.8446668,0.7242966,0.5449774,1.1325428,19.326227,0.9126803,0.64855057,0.5566714,0.5938569,0.56223124,1.6595789,0.6904496,16.216446,0.43648857,3.1492095
70,6.616583,1.1832681,0.47369444,8.748947,0.8090004,0.92042124,0.5703864,1.0749509,25.305492,1.0148646,1.0673797,0.5470282,0.74517006,0.55884516,2.5778391,0.5202061,6.901161,0.2956899,2.637918
71,4.187583,1.5708221,0.4348988,14.811399,0.9327855,1.1341243,0.88761646,0.77516824,9.034801,0.79952925,1.3173523,0.7195645,0.6230491,0.67023253,0.7917164,0.52751905,2.2480302,0.22833557,1.2622923
72,4.121846,1.1300428,0.46201792,16.106833,1.0213873,1.0752254,0.764465,0.90728235,31.954412,1.1104218,0.8374887,0.66993904,0.6045508,0.643401,1.1234165,0.71055454,3.218703,0.29750276,3.2330885
73,2.7671509,1.027343,0.43382305,18.960743,1.2681699,0.9221809,0.6573504,0.9115992,64.28343,1.2254647,0.7863395,0.7005883,0.57286364,0.72680295,0.67731696,0.6973473,2.2202694,0.320735,2.5834908
74,2.4455895,1.0977837,0.39420527,16.950226,1.2698982,1.0341713,0.7315055,0.87783366,50.617268,1.1063952,0.8876133,0.8226854,0.9712255,0.8247192,0.7683912,0.7433941,1.6853209,0.45836338,1.3068691
