,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Dnaja3,0.028296296,0.026076822,0.018308276,-0.10339487,0.042916685,-0.4335858,0.006554942,-0.024599414,-0.04109168,-0.0007711638,0.026278429,0.03474072,-0.003383604,-0.02793026,-0.0048203724,-0.050832473,0.02043526,-0.41300175,-0.35853675
Hmox2,0.41160417,0.42335802,0.009785307,-0.17912197,-0.056010634,0.6910571,-0.05918381,-0.501411,-0.5938573,-0.29108512,0.2138106,-0.3165129,-0.112789646,-0.14700215,-0.43492308,0.077965304,0.078145854,1.0090206,-0.23894244
Mgrn1,-0.41028586,-0.57756376,-0.09658162,-0.4139497,0.5872843,-0.1441094,0.053055733,0.048679598,0.099480584,0.5186665,-0.50575876,-0.33028933,-0.05177401,-0.14223963,-0.35629043,-0.183496,0.48374087,-0.27201158,-0.25627217
Anks3,-0.6945543,-0.84669846,-0.21866679,0.6066916,0.89548445,-0.08668393,-0.13127787,-0.14591873,0.05992,-0.24986045,-0.9012838,0.46375364,-0.24919793,-0.45588598,0.2744506,0.122140504,0.7221527,-0.59227496,-0.64031637
Rogdi,0.08366145,-0.953931,0.16398153,-0.78430194,0.09611681,-0.23333332,0.039153736,0.06372815,-0.16830522,-0.08988316,0.6404597,-0.07707333,-0.38386047,-0.92669314,-0.24717769,-0.014177603,0.093379036,-0.61787856,0.11702789
Glyr1,0.077506125,0.08901425,0.05245871,-0.23514098,-0.15341426,-0.50522757,0.13736959,0.10247186,-0.6938755,-0.0791125,0.15972875,-0.115066186,0.2991453,0.22557421,-0.2143728,-0.48111486,-0.09495942,-0.45859468,-0.18667276
Mettl22,-0.59890485,-0.19841143,0.03660106,-0.03360271,0.089791596,-0.31258693,-0.0014909969,0.027272362,0.044447266,-0.013644341,0.00771318,-0.018131897,-0.068261296,0.012637053,-0.25418988,0.00012139665,0.016542964,-0.29623702,-0.6595146
Abat,0.16604567,-0.17711206,-0.9676199,0.14894612,0.85691977,-0.5029315,-0.47009593,-1.0311084,0.63140106,0.82371086,-1.634697,0.47923398,-0.96369815,-0.2517262,-0.3095475,0.6000104,0.4182929,-0.7613785,0.17505997
Emp2,-0.026300913,-0.1414835,-0.21087986,1.2185346,-0.4339248,0.965176,-0.9455179,-1.18266,-0.21214813,-0.36330527,-0.76252496,-0.89534086,-1.348196,-0.7285946,1.0655622,0.0028316136,-0.79340696,0.5160451,0.6806646
Rsl1d1,-0.040099744,0.03013422,0.0033663437,0.060576607,0.0035883845,-0.2352259,-0.009352657,-0.0021811519,-0.0013719208,0.0046890387,-0.02434848,0.004370376,0.0049438532,-0.033332102,-0.0021690591,0.005122348,0.012988687,-0.10988683,-0.11211595
