,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Protein private topic 1,Protein private topic 4,Protein private topic 8,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 7,RNA private topic 9
10_48,1.9586189,0.7710737,0.7075757,2.3348637,1.0007994,22.367216,1.4554565,0.624064,6.095686,4.988708,1.7023549,0.95874035,9.661697,93.436714,1.4009557,101.33202,0.50480765,1.4863551
10_49,21.914465,0.8243804,0.6964625,0.9178604,0.76456887,1.1466515,1.2126064,6.1904345,2.6763096,1.2544266,1.1172812,4.5916424,0.8710114,1.2000625,33.829544,1.0678847,3.2672749,2.104417
10_5,2.7306817,8.707115,8.027993,1.8682132,0.7246765,1.0804794,18.003128,0.7343855,3.030747,0.6404796,12.230616,1.8018105,0.976325,0.9006871,4.302764,1.2062573,24.785711,14.238698
10_50,3.3292575,21.442951,1.0550642,2.6928935,0.8107573,0.9962945,1.8582885,0.79714966,5.6982455,0.8379187,8.800802,0.8583115,0.38891193,5.5062785,1.6388111,1.3316474,1.6759975,0.84570235
10_51,7.1531982,1.7788069,1.0755396,2.4784696,0.8433024,0.95512617,1.8088607,1.9017475,3.6395283,1.3666084,12.096487,1.8367612,0.9513994,1.6161041,16.623016,1.2224234,3.0757146,0.9584267
10_52,18.914421,1.2496197,1.539108,0.9427122,0.7858201,1.0405481,1.5381918,2.017548,2.204709,1.0291831,2.5599384,6.650889,0.82619286,0.57366085,22.57862,0.726834,3.4329433,2.5306368
10_53,9.429391,1.0676765,13.93836,0.9413346,0.91464436,0.792763,1.48909,3.9479997,5.4381585,0.9102342,1.3993204,11.124559,0.7945454,0.6393553,5.2495346,0.90930086,1.6622804,1.6573045
10_55,4.463053,1.5228994,0.7082813,2.497354,1.1741352,1.2780862,1.6817763,4.404515,3.100648,3.1647353,9.353386,2.184711,1.7748382,3.680889,10.622973,5.882093,0.90984803,0.39522502
10_56,6.482369,1.332221,29.9867,0.8297419,0.87076455,1.0840791,1.535111,1.7729781,4.1013846,1.4172251,0.68464863,3.4764392,1.9457312,1.0952783,3.8369558,1.2134533,1.2659454,1.9841658
10_57,21.003918,0.65144455,0.6126718,0.6408082,1.0704892,1.1324042,1.214496,10.488043,4.258231,1.4229501,1.5701002,10.578871,1.9900724,0.6906661,5.3530273,0.80051506,1.29038,0.78778803
10_58,6.9555373,3.4058726,1.279757,2.289505,0.60833406,0.9925128,1.4285403,1.1717321,3.5789008,0.79431677,5.480608,2.443742,0.5423164,1.2393274,3.6393545,0.8036417,33.144882,16.07901
