,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Cwc27,0.08027629,0.27764335,-0.13267443,-0.013739458,-0.6594919,0.0001872981,0.42998254,-0.1519502,-0.9998649,-0.037486177,-1.264685,0.1293414,-0.70459795,0.20194326,-0.4940775,-0.07433457,-0.00627998,0.127804,-0.029254612
Srek1ip1,-0.09725798,0.16220672,-0.13863795,-0.119942226,0.3180231,-0.2373314,0.25495845,0.056339543,-0.020604596,-0.05470622,0.26387224,0.052849833,-0.10669157,0.023339545,0.045159258,-0.14624082,0.03585313,-0.06374969,-0.06274451
Rgs7bp,-0.14225653,-0.5286503,-0.5009713,-0.22035661,-0.7335205,-0.9816325,0.3134284,0.7541257,0.65426654,-0.0065392093,0.29728398,-0.76882124,-0.5002813,0.7857056,0.32064772,0.21418697,0.21017444,-0.15257078,0.0032522213
Dimt1,-0.103222765,0.16909406,-0.8977941,0.11205385,0.11202087,-0.5129866,0.23019722,-0.24583672,-0.6583462,-0.033712592,-0.75024706,0.27421612,-0.7471738,-0.05919879,0.033103015,-0.11154492,-0.027075563,-0.10223444,0.010135294
Kif2a,0.31183589,0.2281379,-0.09653046,0.16561899,-0.070036866,-0.76405054,-0.54093367,-0.036267884,-0.17883371,0.10994717,-0.61781275,-0.24727201,-0.5514832,-0.5449326,-0.79844385,0.4046967,-0.1463586,0.30953732,0.087514885
Ndufaf2,0.10105951,0.08732959,0.37269545,-0.30771294,-0.51662505,0.6262782,-0.1311992,-0.17691523,0.32102624,0.11459522,-0.46453536,-0.25198972,-0.23247345,-0.26107067,-0.9133891,-0.077454634,-0.08225588,0.8938092,0.32503468
Elovl7,-0.57845455,-0.6501003,1.0326089,-1.5670561,-0.5027411,1.5168556,-0.9336587,-0.7460957,-1.1934282,-1.0556381,-0.23720351,-0.67582625,0.21756835,-1.0580132,0.76326203,-0.051389538,-0.36088762,-0.014901114,-0.57540387
Plk2,0.13624437,-1.3553774,-1.1192318,0.51722497,-0.8589527,-1.2505625,0.72137374,0.6906302,-0.35396677,0.08754229,-0.9787721,0.057781335,-0.9770755,0.7586417,0.34456193,-0.039351765,0.34739405,-1.4769691,0.20210138
Dhx29,0.019103372,0.17900264,-0.6886741,0.017615043,0.116788685,-0.30121946,0.028926859,0.046220392,-0.840803,-0.015392162,-0.24397816,-0.01537002,-0.57824767,-0.002449568,-0.006026659,-0.023823101,0.011871644,-0.10917068,-0.042458422
Ndufs4,-0.16019759,0.0544431,-0.3175386,-0.004253536,-0.07972134,-0.17970486,0.17167735,0.10636039,-0.14553384,-0.22686769,0.095334135,0.023738509,-0.73787314,0.04087958,0.013916155,0.020702092,0.010695043,0.16926853,-0.013775683
Fst,-0.05925452,-0.6489446,-1.1817349,1.1037848,-0.51617765,-0.48261943,0.94386965,0.036173172,-1.025525,-0.59408635,-0.8470011,-0.22395323,-0.8748481,1.0813098,-0.123975836,0.19530633,0.28589758,-0.64034605,0.4414183
Mocs2,-0.059324633,0.005054674,-0.13410127,-0.012527177,-0.45042288,0.2353809,0.116839014,-0.037559725,0.25221536,-0.18525042,0.14515443,-0.021292605,-0.08509329,-0.03890765,-0.03127118,0.014083245,-0.0023420213,0.40444508,0.0061500175
Itga1,-0.9161375,-0.33472204,0.41745776,-2.3802056,1.6106218,-0.8815181,-1.334153,0.76665837,0.578258,-0.39909336,0.8475916,-0.90196955,1.3880768,-0.0097822705,-0.037570614,-0.13961826,-0.5681512,-0.8463329,-0.5770391
Isl1,-2.2227228,1.1652073,-0.20960703,-3.9404886,-0.108225815,-1.2851652,1.1669372,1.1179954,-1.8197337,-1.6313223,-1.0788523,1.6226004,0.8325646,0.1410718,0.5304512,-1.5763494,0.8071597,-0.9876247,-1.5729175
Parp8,0.15165804,0.7392081,-0.44384602,0.0036446066,-0.34378105,-0.40290204,-0.3450117,-0.5214515,0.21326926,0.23452114,0.43416616,0.27899534,-0.19750537,-0.1449957,-0.05458692,-0.02389729,-0.08265069,0.18261577,-0.012903317
Emb,0.37268275,0.84696865,-1.1743664,0.4133517,-0.88767797,-1.2381527,-0.019983005,-0.5710084,0.1439832,-0.3506444,-0.031144163,0.27539796,0.12881143,-0.489778,-1.0272065,0.31431228,-0.54661465,0.96319073,-0.22590593
Paip1,-0.19203039,0.0005125058,-0.39468727,0.049348682,0.018995497,0.2403218,-0.3108641,0.048964906,0.074128404,-0.3795699,-1.1083472,0.011145818,-0.09584095,-0.17250742,-0.062498752,0.018909393,-0.026779989,0.6430508,-0.02691205
X4833420G17Rik,-0.10938686,-0.048400078,-0.42752194,-0.12630475,0.8018826,0.12389202,0.53858787,-0.33231506,-0.06329839,-0.089260824,-0.2667428,0.6495708,-0.51434594,-0.040525053,-0.13812684,0.03334201,0.074816525,-0.099931486,0.082724825
Hmgcs1,0.2296159,-0.43580228,0.61120945,-0.6254361,-0.30748886,0.8222108,-0.6844379,-0.20435637,0.10882783,0.4377028,0.16874887,-0.6287966,0.24343446,-0.5930027,0.29959017,0.045238335,-0.5386129,-0.05146321,-0.40823022
Zfp131,0.23386149,-0.2529641,-0.11510144,0.1204231,-0.049455605,-0.032438572,-0.14328271,-0.20648062,-0.6082665,-0.3829801,-0.361694,0.0022688834,-0.5615299,0.06436799,0.01898326,0.044796463,-0.055001456,-0.39823604,0.07983087
Pxk,0.07922259,0.41017187,-0.5329904,0.23166585,0.12712677,-0.26174477,-0.5001954,-0.47168872,-0.14137587,-0.046350297,-1.0193828,0.17154598,-0.29389355,-0.33858863,-0.4831556,-0.10616452,-0.20353405,0.52311367,0.19585298
Fezf2,1.6770065,-0.9703872,-0.4682051,1.5219015,-0.01883274,0.11105039,-1.4853019,-1.6567628,-0.6302708,-0.037690673,0.878672,-1.1391871,-0.8290481,-1.248685,-1.010161,1.6600541,-1.0679021,-0.47889838,-1.2014261
Cadps,0.34731287,0.28539202,-0.50346315,0.6393599,-0.1432696,-1.0558194,-0.75212514,-0.6558778,0.5611214,0.36760643,0.063973404,-0.4548253,-0.48237067,-0.29566485,-1.0503392,0.24414827,-0.6601325,0.6691226,0.38476878
Thoc7,0.046773404,0.40944037,-0.5488387,-0.047535017,0.10513013,0.21382089,-0.048434224,-0.3504335,0.2408761,-0.030694755,-0.0754761,-0.048313953,0.095679685,-0.3115004,-0.088248,0.01322026,-0.017278487,0.41179436,-0.015472245
Psmd6,0.010108209,0.062266864,0.054060142,0.04791809,-0.0820747,-0.011565854,-0.24773806,-0.042774655,-0.96620935,0.0021760375,-0.6954101,0.11656267,-0.18290906,-0.00064825395,0.0055864225,-0.00841609,-0.1093596,0.0010451147,-0.014967479
Slc4a7,-0.5365213,0.18802257,-0.19044763,0.87921906,0.24263604,-1.0473744,0.27775496,-0.24506392,-0.3963117,-0.3105405,-0.11823192,0.48941442,-0.26794052,-0.35495394,-0.30158973,-0.748498,-0.08519572,0.28329644,-0.08539101
Ngly1,0.08251649,0.09640162,-0.3149687,-0.08427502,-0.3699911,0.39432743,0.5661754,-0.23330584,-0.42867744,0.0017954061,-0.15510936,0.1397821,-0.31500587,0.005401649,-0.01679409,-0.019603882,-0.019378927,0.15163785,-0.016851382
